old_url,title,summary,body,organisation,document_collection_1,topic_1,publication_date,publication_type,json_attachments
http://www.hmrc.gov.uk/exrate/austria.htm,Foreign Exchange Rates: Austria,Historical exchange rates for Austria,"# Foreign Exchange Rates: Austria

## Unit of currency: Austrian Schilling


",hm-revenue-customs,certified-currency-exchange-rates-for-tax-calculation-and-filing,tax-and-revenue,08-Apr-2014,notices,"[{""title"":""Foreign Exchange Rates: Austria"",""link"":""https://raw.githubusercontent.com/rgarner/hmrc-crawlers/master/results/austria.csv""}]"
http://www.hmrc.gov.uk/exrate/argentina.htm,Foreign Exchange Rates: Argentina,Historical exchange rates for Argentina,"# Foreign Exchange Rates: Argentina

## Unit of currency: Peso


",hm-revenue-customs,certified-currency-exchange-rates-for-tax-calculation-and-filing,tax-and-revenue,08-Apr-2014,notices,"[{""title"":""Foreign Exchange Rates: Argentina"",""link"":""https://raw.githubusercontent.com/rgarner/hmrc-crawlers/master/results/argentina.csv""}]"
http://www.hmrc.gov.uk/exrate/algeria.htm,Foreign Exchange Rates: Algeria,Historical exchange rates for Algeria,"# Foreign Exchange Rates: Algeria

## Unit of currency: Algerian Dinar


",hm-revenue-customs,certified-currency-exchange-rates-for-tax-calculation-and-filing,tax-and-revenue,08-Apr-2014,notices,"[{""title"":""Foreign Exchange Rates: Algeria"",""link"":""https://raw.githubusercontent.com/rgarner/hmrc-crawlers/master/results/algeria.csv""}]"
http://www.hmrc.gov.uk/exrate/bahrain.htm,Foreign Exchange Rates: Bahrain,Historical exchange rates for Bahrain,"# Foreign Exchange Rates: Bahrain

## Unit of currency: Bahrain Dinar


",hm-revenue-customs,certified-currency-exchange-rates-for-tax-calculation-and-filing,tax-and-revenue,08-Apr-2014,notices,"[{""title"":""Foreign Exchange Rates: Bahrain"",""link"":""https://raw.githubusercontent.com/rgarner/hmrc-crawlers/master/results/bahrain.csv""}]"
http://www.hmrc.gov.uk/exrate/bangladesh.htm,Foreign Exchange Rates: Bangladesh,Historical exchange rates for Bangladesh,"# Foreign Exchange Rates: Bangladesh

## Unit of currency: Taka


",hm-revenue-customs,certified-currency-exchange-rates-for-tax-calculation-and-filing,tax-and-revenue,08-Apr-2014,notices,"[{""title"":""Foreign Exchange Rates: Bangladesh"",""link"":""https://raw.githubusercontent.com/rgarner/hmrc-crawlers/master/results/bangladesh.csv""}]"
http://www.hmrc.gov.uk/exrate/belgium.htm,Foreign Exchange Rates: Belgium,Historical exchange rates for Belgium,"# Foreign Exchange Rates: Belgium

## Unit of currency: Belgian Franc


",hm-revenue-customs,certified-currency-exchange-rates-for-tax-calculation-and-filing,tax-and-revenue,08-Apr-2014,notices,"[{""title"":""Foreign Exchange Rates: Belgium"",""link"":""https://raw.githubusercontent.com/rgarner/hmrc-crawlers/master/results/belgium.csv""}]"
http://www.hmrc.gov.uk/exrate/australia.htm,Foreign Exchange Rates: Australia,Historical exchange rates for Australia,"# Foreign Exchange Rates: Australia

## Unit of currency: Australian Dollar


",hm-revenue-customs,certified-currency-exchange-rates-for-tax-calculation-and-filing,tax-and-revenue,08-Apr-2014,notices,"[{""title"":""Foreign Exchange Rates: Australia"",""link"":""https://raw.githubusercontent.com/rgarner/hmrc-crawlers/master/results/australia.csv""}]"
http://www.hmrc.gov.uk/exrate/brazil.htm,Foreign Exchange Rates: Brazil,Historical exchange rates for Brazil,"# Foreign Exchange Rates: Brazil

## Unit of currency: Cruzeiro/Real


",hm-revenue-customs,certified-currency-exchange-rates-for-tax-calculation-and-filing,tax-and-revenue,08-Apr-2014,notices,"[{""title"":""Foreign Exchange Rates: Brazil"",""link"":""https://raw.githubusercontent.com/rgarner/hmrc-crawlers/master/results/brazil.csv""}]"
http://www.hmrc.gov.uk/exrate/botswana.htm,Foreign Exchange Rates: Botswana,Historical exchange rates for Botswana,"# Foreign Exchange Rates: Botswana

## Unit of currency: Pula


",hm-revenue-customs,certified-currency-exchange-rates-for-tax-calculation-and-filing,tax-and-revenue,08-Apr-2014,notices,"[{""title"":""Foreign Exchange Rates: Botswana"",""link"":""https://raw.githubusercontent.com/rgarner/hmrc-crawlers/master/results/botswana.csv""}]"
http://www.hmrc.gov.uk/exrate/bolivia.htm,Foreign Exchange Rates: Bolivia,Historical exchange rates for Bolivia,"# Foreign Exchange Rates: Bolivia

## Unit of currency: Bolivia


",hm-revenue-customs,certified-currency-exchange-rates-for-tax-calculation-and-filing,tax-and-revenue,08-Apr-2014,notices,"[{""title"":""Foreign Exchange Rates: Bolivia"",""link"":""https://raw.githubusercontent.com/rgarner/hmrc-crawlers/master/results/bolivia.csv""}]"
