Average for year to,Sterling value of currency unit - £,Currency units per £1
2014-03-31,0.1044,9.580773
2013-12-31,0.1176,8.503637
2013-03-31,0.1346,7.430757
2012-12-31,0.1392,7.181784
2012-03-31,0.1497,6.679004
2011-12-31,0.1513,6.611286
2011-03-31,0.1627,6.1477
2010-12-31,0.1653,6.0480
2010-03-31,0.16507,6.0580
2009-12-31,0.17116,5.8426
2009-03-31,0.17989,5.559
2008-12-31,0.17119,5.8413
2008-03-31,0.15916,6.283
2007-12-31,0.160315,6.2363
2007-03-31,0.17175343,5.8223
2006-12-31,0.17692852,5.652
2006-03-31,0.189508793,5.2768
2005-12-31,0.188033545,5.3182
2005-03-31,0.18346,5.4508
2004-12-31,0.18512,5.402
2004-03-31,0.2488,4.881
2003-12-31,0.20716,4.8273
2003-03-31,0.18733,5.3381
2002-12-31,0.20914,4.7816
2002-03-28,0.0090069155,1.7986
2001-12-31,0.6944926731,1.4399
2001-03-31,0.6762696964,1.4787
2000-12-29,0.6599353263,1.5153
2000-03-31,0.6210408645,1.6102
1999-12-30,0.6183909468,1.6171
1999-03-31,0.60463,1.6539
1998-12-31,0.60314,1.658
1998-03-31,0.608569,1.6432
1997-12-30,0.610314,1.6385
1997-03-31,0.630716,1.5855
1996-12-31,0.640656,1.5609
1996-03-31,0.63861,1.5659
1995-12-30,0.633192,1.5793
1995-03-31,0.643791,1.5533
1994-12-30,0.65368,1.5298
1994-03-30,0.664761,1.5043
1993-12-31,0.591611,1.6903
1993-03-31,0.5353032,1.8681
1992-12-31,0.5715592,1.7496
1992-01-01 to 1992-03-31,0.5682786,1.7597
1991-04-01 to 1991-12-31,0.0000586,17064
1991-12-31,0.0000596,16778
1991-03-31,0.000078,12864
1990-12-31,0.000115,8702
1990-03-31,0.000346,2893
1989-12-31,0.002034,491.63
