Average for year to,Sterling value of currency unit - £,Currency units per £1
2014-03-31,0.5559,1.7988
2014-03-31,0.5887,1.698716
2013-12-31,0.5402,1.8513
2013-12-31,0.6121,1.633679
2013-03-31,0.6837,1.4626
2013-03-31,0.6429,1.555564
2012-12-31,0.6387,1.5657
2012-12-31,0.6534,1.530380
2012-03-31,0.6484,1.5423
2012-03-31,0.6547,1.527388
2011-12-31,0.6597,1.5159
2011-12-31,0.6438,1.553232
2011-03-31,0.6452,1.55
2011-03-31,0.6051,1.6526
2010-12-31,0.6547,1.5274
2010-12-31,0.5927,1.6872
2010-03-31,0.60507,1.6527
2010-03-31,0.5311,1.8829
2009-12-31,0.55692,1.7956
2009-12-31,0.50193,1.9923
2009-03-31,0.48473,2.0630
2009-03-31,0.45842,2.1814
2008-12-31,0.48492,2.0622
2008-12-31,0.45727,2.1869
2008-03-31,0.459284,2.1773
2007-12-31,0.441092,2.2671
2008-03-31,0.431916,2.3153
2007-12-31,0.418286,2.3907
2007-03-30,0.41187858,2.4279
2006-12-29,0.40356754,2.4779
2007-03-31,0.40422006,2.4739
2006-12-31,0.409031,2.4448
2006-03-31,0.411083,2.4326
2005-12-30,0.427296,2.3403
2006-03-31,0.420477,2.37825
2005-12-31,0.419076356,2.3862
2005-03-31,0.400224126,2.4986
2004-12-31,0.401412974,2.4912
2005-03-31,0.409366,2.4428
2004-12-31,0.4001441,2.4491
2004-03-31,0.408363,2.4488
2003-12-31,0.396197,2.524
2004-03-31,0.415420405,2.4072
2003-12-31,0.420875421,2.376
2003-03-31,0.358102,2.7925
2003-03-31,0.3823068,2.6157
2002-12-31,0.356519,2.8049
2002-03-28,0.3588860178,2.7864
2002-12-31,0.3497726,2.859
2002-03-28,0.3747844989,2.6682
2001-12-31,0.3588860178,2.7864
2001-03-31,0.3757985720,2.661
2001-12-31,0.3517163759,2.8432
2001-03-30,0.3434419755,2.9117
2000-12-29,0.3832592365,2.6092
2000-03-31,0.4000000000,2.5
2000-12-29,0.3719684571,2.6884
1999-12-30,0.3988035892,2.5075
1999-03-31,0.37533,2.6643
1999-12-31,0.4059924485,2.4631
1999-03-31,0.39119,2.5563
1998-12-31,0.37908,2.638
1998-03-31,0.434386,2.3021
1998-12-31,0.36865,2.7126
1998-03-31,0.396008,2.5252
1997-12-30,0.452755,2.2087
1997-03-31,0.496795,2.0129
1997-12-31,0.3959925,2.5253
1997-03-31,0.477372,2.0948
1996-12-31,0.5012,1.9952
1996-03-31,0.4743833,2.108
1996-12-31,0.4641232,2.1546
1996-03-31,0.5124263,1.9515
1995-12-30,0.46926326,2.131
1995-03-31,0.477487,2.0943
1995-12-30,0.4791107,2.0872
1995-03-31,0.4503287,2.2206
1994-12-30,0.478286,2.0908
1994-03-30,0.455768,2.1941
1994-12-30,0.4957858,2.017
1994-03-30,0.474001,2.1097
1993-12-31,0.453145,2.2068
1993-03-31,0.4233879,2.3619
1993-12-31,0.458758,2.1798
1993-03-31,0.4697040,2.129
1992-12-31,0.4145765,2.4121
1992-03-31,0.4449784,2.2473
1992-12-31,0.4382340,2.2035
1992-03-31,0.4424778,2.2600
1991-12-31,0.4401602,2.2719
1991-12-31,0.4060913,2.4625
1991-03-31,0.410813,2.4342
1991-03-28,0.446828,2.2380
1990-12-31,0.424935,2.3533
1990-12-31,0.400000,2.5000
1990-03-31,0.472277,2.1174
1990-03-30,0.458085,2.1830
1989-12-31,0.483395,2.0687
1989-12-29,0.489884,2.0413
