Type,From date,To date,Sterling value of currency unit - £,Currency units per £1,Currency
Average,2013-03-31,2014-03-31,0.8436,1.185417,Euro
Average,2012-12-31,2013-12-31,0.8486,1.178398,Euro
Average,2012-03-31,2013-03-31,0.8141,1.228351,Euro
Average,2011-12-31,2012-12-31,0.8107,1.233473,Euro
Average,2011-03-31,2012-03-31,0.8716,1.147268,Euro
Average,2010-12-31,2011-12-31,0.8683,1.151701,Euro
Average,2010-03-31,2011-03-31,0.849,1.1779,Euro
Average,2009-12-31,2010-12-31,0.8573,1.1664,Euro
Average,2005-03-31,2006-03-31,0.420477,2.37825,Euro
Average,2004-12-31,2005-12-31,0.419076356,2.3862,Euro
Average,2001-04-01,2002-02-27,0.0448720250,22.2856,Euro
Average,2002-01-01,2002-03-28,0.6148548942,1.6264,Euro
Spot,,2002-03-28,0.6126324818,1.6323,Euro
Spot,,2002-02-27,0.0443264376,22.5599,Euro
Spot,,2001-12-31,0.0444604502,22.4919,Euro
Average,2000-12-31,2001-12-31,0.0451793621,22.134,Euro
Spot,,2001-03-30,0.0451887534,22.1294,Euro
Average,2000-03-31,2001-03-31,0.0445759932,22.4336,Euro
Spot,,2000-12-29,0.0456746140,21.894,Euro
Average,1999-12-29,2000-12-29,0.0442597338,22.5939,Euro
Spot,,2000-03-31,0.0435908389,22.9406,Euro
Average,1999-03-31,2000-03-31,0.0465317556,21.4907,Euro
Spot,,1999-12-31,0.0451967187,22.1255,Euro
Average,1998-12-30,1999-12-30,0.0478498663,20.8987,Euro
Spot,,1999-03-31,0.0486014,20.5755,Euro
Average,1998-03-31,1999-03-31,0.049386,20.2487,Euro
Spot,,1998-12-31,0.051291,19.4965,Austrian Schilling
Average,1997-12-31,1998-12-31,0.0487641,20.5069,Austrian Schilling
Spot,,1998-03-31,0.045897,21.7878,Austrian Schilling
Average,1997-03-31,1998-03-31,0.0488,20.4914,Austrian Schilling
Spot,,1997-12-31,0.0480406,20.8157,Austrian Schilling
Average,1996-12-30,1997-12-30,0.05005,19.9796,Austrian Schilling
Spot,,1997-03-31,0.051865,19.2808,Austrian Schilling
Average,1996-03-31,1997-03-31,0.057672,17.3392,Austrian Schilling
Spot,,1996-12-31,0.0539092,18.5497,Austrian Schilling
Average,1995-12-31,1996-12-31,0.06047,16.5372,Austrian Schilling
Spot,,1996-03-31,0.0630978,15.8484,Austrian Schilling
Average,1995-03-31,1996-03-31,0.063539,15.7384,Austrian Schilling
Spot,,1995-12-30,0.0639586,15.6351,Austrian Schilling
Average,1994-12-30,1995-12-30,0.062885,15.9021,Austrian Schilling
Spot,,1995-03-31,0.0637482,15.6867,Austrian Schilling
Average,1994-03-31,1995-03-31,0.058577,17.0715,Austrian Schilling
Spot,,1994-12-30,0.0586001,17.0648,Austrian Schilling
Average,1993-12-30,1994-12-30,0.057258,17.4648,Austrian Schilling
Spot,,1994-03-30,0.057234,17.4722,Austrian Schilling
Average,1993-03-30,1994-03-30,0.05642,17.7241,Austrian Schilling
Spot,,1993-12-31,0.055436,18.0388,Austrian Schilling
Average,1992-12-31,1993-12-31,0.057275,17.4596,Austrian Schilling
Spot,,1993-03-31,0.0585685,17.074,Austrian Schilling
Average,1992-03-31,1993-03-31,0.0541406,18.470,Austrian Schilling
Spot,,1992-12-31,0.0579878,17.245,Austrian Schilling
Average,1991-12-31,1992-12-31,0.0519102,19.264,Austrian Schilling
Spot,,1992-03-31,0.0498877,20.045,Austrian Schilling
Average,1991-03-31,1992-03-31,0.0490051,20.406,Austrian Schilling
Spot,,1991-12-31,0.0500375,19.985,Austrian Schilling
Average,1990-12-31,1991-12-31,0.0487900,20.496,Austrian Schilling
Spot,,1991-03-28,0.048112,20.785,Austrian Schilling
Average,1990-03-31,1991-03-31,0.048909,20.446,Austrian Schilling
Spot,,1990-12-31,0.049334,20.270,Austrian Schilling
Average,1989-12-31,1990-12-31,0.049471,20.214,Austrian Schilling
Spot,,1990-03-30,0.051007,19.605,Austrian Schilling
Average,1989-03-31,1990-03-31,0.048847,20.472,Austrian Schilling
Spot,,1989-12-29,0.052124,19.185,Austrian Schilling
Average,1988-12-31,1989-12-31,0.046290,21.603,Austrian Schilling
