Average for year to,Sterling value of currency unit - £,Currency units per £1
2014-03-31,1.6729,0.597748
2013-12-31,1.6963,0.589507
2013-03-31,1.6778,0.596023
2012-12-31,1.6765,0.596475
2012-03-31,1.5815,0.632318
2011-12-31,1.6017,0.624317
2011-03-31,1.7085,0.5853
2010-12-31,1.7174,0.5822
2010-03-31,1.66528,0.6005
2009-12-31,1.69607,0.5896
2009-03-31,1.54512,0.6472
2008-12-31,1.43287,0.6979
2008-03-31,1.322401,0.7562
2007-12-31,1.32626,0.754
2007-03-31,1.40036409,0.7141
2006-12-31,1.43843498,0.6952
2006-03-31,1.486105,0.6729
2005-12-31,1.457938,0.6859
2005-03-31,1.435132,0.6968
2004-12-31,1.445713,0.6917
2004-03-31,1.568381,0.6376
2003-12-31,1.624595,0.6154
2003-03-31,1.713502,0.5836
2002-12-31,1.763357,0.5671
2002-03-28,1.8508236165,0.5403
2001-12-31,1.8406037180,0.5433
2001-03-31,1.7927572607,0.5578
2000-12-29,1.7494751575,0.5716
2000-03-31,1.6466326363,0.6073
1999-12-30,1.6396130513,0.6099
1999-03-31,1.60282,0.6239
1998-12-31,1.59898,0.6254
1998-03-31,1.613424,0.6198
1997-12-30,1.618123,0.618
1997-03-31,1.671402,0.5983
1996-12-31,1.697793,0.589
1996-03-31,1.69348,0.5905
1995-12-30,1.679261,0.5955
1995-03-31,1.706193,0.5861
1994-12-30,1.731902,0.5774
1994-03-30,1.7693,0.5652
1993-12-31,1.7702,0.5649
1993-03-31,1.5654351,0.6388
1992-12-31,1.5019525,0.6658
1992-03-31,1.5332720,0.6522
1991-12-31,1.5092061,0.6626
1991-03-31,1.432460,0.6981
1990-12-31,1.492983,0.6698
1990-03-31,1.487431,0.6723
1989-12-31,1.414827,0.7068
