Average for year to,Sterling value of currency unit - £,Currency units per £1
2014-03-31,0.315,3.174632
2013-12-31,0.3197,3.127469
2013-03-31,0.3163,3.161775
2012-12-31,0.316,3.164138
2011-03-31,0.3221,3.1049
2010-12-31,0.3237,3.0889
2010-03-31,0.31394,3.1853
2009-12-31,0.31969,3.1280
2009-03-31,0.29123,3.4337
2008-12-31,0.27001,3.7036
2008-03-31,0.24906,4.0151
2007-12-31,0.249856,4.0023
2007-03-31,0.26396368,3.7884
2006-12-31,0.27115703,3.6879
2006-03-31,0.28011204,3.57
2005-12-31,0.274800769,3.639
2005-03-31,0.271385,3.6848
2004-12-31,0.273418,3.6574
2004-03-31,0.296762,3.3697
2003-12-31,0.307853,3.2483
2003-03-31,0.323029,3.0957
2002-12-31,0.332325,3.0091
2002-03-28,0.3505819661,2.8524
2001-12-31,0.3487358326,2.8675
2001-03-31,0.3393626769,2.9467
2000-12-29,0.3311806590,3.0195
2000-03-31,0.3113906707,3.2114
1999-12-30,0.3095687707,3.2303
1999-03-31,0.29994,3.334
1998-12-31,0.29888,3.3458
1998-03-31,0.302416,3.3067
1997-12-30,0.303315,3.2969
1997-03-31,0.313352,3.1913
1996-12-31,0.318481,3.1399
1996-03-31,0.31761156,3.1485
1995-12-30,0.31474254,3.1772
1995-03-31,0.319744,3.1275
1994-12-30,0.324707,3.0797
1994-03-31,0.331785,3.014
1993-12-31,0.332182,3.0104
1993-03-31,0.2938583,3.403
1992-12-31,0.2816504,3.5505
1992-03-31,0.2865575,3.4879
1991-12-31,0.2810804,3.5577
1991-03-31,0.265986,3.7596
1990-12-31,0.278373,3.5923
1990-03-31,0.320924,3.1160
1989-12-31,0.328009,3.0487
