Average for year to,Sterling value of currency unit - £,Currency units per £1
2014-03-31,0.8436,1.185417
2013-12-31,0.8486,1.178398
2013-03-31,0.8141,1.228351
2012-12-31,0.8107,1.233473
2001-04-01 to 2002-02-27,0.0153055914,65.3356
2002-01-01 to 2002-03-28,0.6148548942,1.6264 (Euro)
2002-03-28,0.6126324818,1.6323 (Euro)
2002-02-27,0.0151201752,66.1368
2001-12-31,0.0154107663,64.8897
2001-03-31,0.0152044081,65.7704
2001-12-31,0.0151658768,65.9375
2001-03-30,0.0154143295,64.8747
2000-12-29,0.0150965728,66.2402
2000-03-31,0.0158726631,63.0014
2000-12-29,0.0155800370,64.1847
2000-03-31,0.0148692694,67.2528
1999-12-30,0.0163223201,61.2658
1999-03-31,0.016844,59.3682
1999-12-31,0.0154170148,64.8634
1999-03-31,0.0165784,60.3193
1998-12-31,0.016630,60.1307
1998-03-31,0.01664,60.0947
1998-12-31,0.017496,57.1561
1998-03-31,0.015653,63.8841
1997-12-30,0.01707,58.5873
1997-03-31,0.019699,50.7632
1997-12-31,0.0164036,60.9619
1997-03-31,0.017659,56.6252
1996-12-31,0.02067,48.3809
1996-03-31,0.021734,46.0104
1996-12-31,0.0183963,54.3586
1996-03-31,0.0215917,46.314
1995-12-30,0.0215,46.5106
1995-03-31,0.020019,49.9536
1995-12-30,0.0219204,45.6916
1995-03-31,0.0218448,45.7774
1994-12-30,0.019552,51.1454
1994-03-30,0.018966,52.7259
1994-12-30,0.020081,49.7981
1994-03-30,0.019544,51.1668
1993-12-31,0.01926,51.9204
1993-03-31,0.0183901,54.377
1993-12-31,0.018696,53.4877
1993-03-31,0.02,50
1992-12-31,0.0176413,56.685
1992-03-31,0.0166830,59.941
1992-12-31,0.0198807,50.3
1992-03-31,0.0169923,58.850
1991-12-31,0.0166049,60.223
1991-03-31,0.016686,59.932
1991-12-31,0.0171086,58.450
1991-03-28,0.016340,61.200
1990-12-31,0.016829,59.429
1990-03-31,0.016409,60.943
1990-12-31,0.016736,59.750
1990-03-30,0.017301,57.800
1989-12-31,0.015505,64.494
1989-12-29,0.017422,57.400
