Average for year to,Sterling value of currency unit - £,Currency units per £1
2014-03-31,0.0913,10.95566
2013-12-31,0.0926,10.804692
2013-03-31,0.0915,10.923555
2012-12-31,0.0915,10.931695
2012-03-31,0.0899,11.126486
2011-12-31,0.0899,11.126
2011-03-31,0.0919,10.8805
2010-12-31,0.0922,10.8402
2010-03-31,0.089442,11.1804
2009-12-31,0.09108,10.9794
2009-03-31,0.081785,12.2272
2008-12-31,0.074395,13.4418
2008-03-31,0.064337,15.5431
2007-12-31,0.063665,15.7073
2007-03-31,0.06602316,15.1462
2006-12-31,0.06781316,14.7464
2006-03-31,0.069638,14.36
2005-12-31,0.068185,14.666
2005-03-31,0.067723,14.7661
2004-12-31,0.068643,14.5681
2004-03-31,0.076306,13.1051
2003-12-31,0.079896,12.5163
2003-03-31,0.08801,11.3623
2002-12-31,0.092523,10.8081
2002-03-28,0.1035550447,9.6567
2001-12-31,0.1049769576,9.5259
2001-03-31,0.1081326571,9.2479
2000-12-29,0.1073399025,9.3162
2000-03-31,0.1059568967,9.4378
1999-12-30,0.1070205479,9.344
1999-03-31,0.10804,9.2559
1998-12-31,0.10905,9.1699
1998-03-31,0.114469,8.736
1997-12-30,0.115868,8.6305
1997-03-31,0.122453,8.1664
1996-12-31,0.125843,7.9464
1996-03-31,0.131146,7.6251
1995-12-30,0.131707,7.5926
1995-03-31,0.137663,7.2641
1994-12-30,0.141395,7.0724
1994-03-30,0.152481,6.5582
1993-12-31,0.156094,6.4064
1993-03-31,0.1486038,6.7293
1992-12-31,0.1455053,6.8726
1992-03-31,0.1576789,6.3420
1991-12-31,0.1581878,6.3216
1991-03-31,0.160262,6.2398
1990-12-31,0.176728,5.6584
1990-03-31,0.223879,4.4667
1989-12-31,0.248127,4.0302
