Type,From date,To date,Sterling value of currency unit - £,Currency units per £1
Average,2013-03-31,2014-03-31,0.0734,13.623530
Average,2012-12-31,2013-12-31,0.0766,13.061015
Average,2012-03-31,2013-03-31,0.0798,12.532628
Average,2011-12-31,2012-12-31,0.0813,12.296653
Average,2010-03-31,2011-03-31,0.0952,10.5024
Average,2009-12-31,2010-12-31,0.0952,10.5076
Average,2009-03-31,2010-03-31,0.091827,10.8900
Average,2008-12-31,2009-12-31,0.090163,11.0911
Average,2008-03-31,2009-03-31,0.081873,12.2141
Average,2007-12-31,2008-12-31,0.079563,12.5687
Average,2007-03-31,2008-03-31,0.080432,12.4328
Average,2006-12-31,2007-12-31,0.081347,12.2795
Average,2006-03-31,2007-03-31,0.08704205,11.4887
Average,2005-12-31,2006-12-31,0.092428276,10.8192
Average,2005-03-31,2006-03-31,0.10515,9.51
Average,2004-12-31,2005-12-31,0.10809409,9.2512
Average,2004-03-31,2005-03-31,0.11761,8.5027
Average,2003-12-31,2004-12-31,0.11679514,8.562
Average,2003-03-31,2004-03-31,0.123516,8.0961
Average,2002-12-31,2003-12-31,.12455317,8.0287
Average,2002-03-31,2003-03-31,0.10972,9.1141
Average,2001-12-31,2002-12-31,0.10627218,9.4098
Average,2001-03-28,2002-03-28,0.1112050176,8.9924
Average,2000-12-31,2001-12-31,0.1163182934,8.5971
Average,2000-03-31,2001-03-31,0.1270793356,7.8691
Average,1999-12-29,2000-12-29,0.1286719765,7.7717
Average,1999-03-31,2000-03-31,0.1331540193,7.5101
Average,1998-12-30,1999-12-30,0.1337774745,7.4751
Average,1998-03-31,1999-03-31,0.13701,7.2987
Average,1997-12-31,1998-12-31,0.14256,7.0147
Average,1997-03-31,1998-03-31,0.165601,6.0386
Average,1996-12-30,1997-12-30,0.1683615,5.9396
Average,1996-03-31,1997-03-31,0.18203,5.4936
Average,1995-12-31,1996-12-31,0.194966,5.1291
Average,1995-03-31,1996-03-31,0.227516,4.3953
Average,1994-12-30,1995-12-30,0.229337,4.3604
Average,1994-03-31,1995-03-31,0.238544,4.1921
Average,1993-12-30,1994-12-30,0.244433,4.0911
Average,1993-03-30,1994-03-30,0.267173,3.7429
Average,1992-12-31,1993-12-31,0.275862,3.625
Average,1992-03-31,1993-03-31,0.2724572,3.6703
Average,1991-12-31,1992-12-31,0.2649497,3.7743
Average,1991-03-31,1992-03-31,0.2766940,3.6141
Average,1990-12-31,1991-12-31,0.2808988,3.5600
Average,1990-03-31,1991-03-31,0.293049,3.4124
Average,1989-12-31,1990-12-31,0.304164,3.2877
