Average for year to,Sterling value of currency unit - £,Currency units per £1
2014-03-31,0.2816,3.551688
2013-12-31,0.2975,3.361409
2013-03-31,0.3147,3.177780
2012-12-31,0.3235,3.091557
2012-03-31,0.3716,2.690953
2011-12-31,0.3735,2.67755
2011-03-31,0.3724,2.6850
2010-12-31,0.3674,2.7216
2010-03-31,0.33558,2.9799
2009-12-31,0.32145,3.1109
2009-03-31,0.30024,3.3307
2008-12-31,0.29781,3.3579
2008-03-31,0.268716,3.7214
2007-12-31,0.256733,3.8951
2007-03-31,0.24516414,4.0789
2006-12-31,0.24982512,4.0028
2006-03-31,0.24316,4.1126
2005-12-31,0.226588,4.4133
2005-03-31,0.18947,5.2779
2004-12-31,0.18688,5.3511
2004-03-31,0.2,4.9999
2003-12-31,0.19754,5.0623
2003-03-31,0.20073,4.9817
2002-12-31,0.2255,4.4345
2002-03-28,0.2847461488,3.5119
2001-12-31,0.2941955223,3.3991
2001-03-31,0.3570918440,2.8004
2000-12-29,0.3606983119,2.7724
2000-03-31,0.3421493824,2.9227
1999-12-30,0.3390520106,2.9494
1999-03-31,0.45506,2.1975
1998-12-31,0.51943,1.9252
1998-03-31,0.558847,1.7894
1997-12-30,0.570613,1.7525
1997-03-31,0.616067,1.6232
1996-12-31,0.63674,1.5705
1996-03-31,0.674263,1.4831
1995-12-30,0.690608,1.448
1994-07-02 to 1995-03-31,0.7331539,1.36397
1994-04-01 to 1994-07-01,0.0003426,2918.79
1994-07-02 to 1994-12-30,0.7318876,1.36633
1994-01-01 to 1994-07-01,0.000491,2036.27
1993-07-27 to 1994-03-30,0.0021379,467.73735
1993-04-01 to 1993-07-26,0.0000149,67017.97
1993-07-27 to 1993-12-31,0.0042611,234.6763
1993-01-01 to 1993-07-26,0.0000201,49680.12
1993-03-31,0.0000736,13586
1992-12-31,0.0001317,7592.9
1991-10-01 to 1992-03-31,0.0005091,1964.2
1991-04-01 to 1991-09-30,0.0018305,546.29
1991-10-01 to 1991-12-31,0.0007473,1338.1
1991-01-01 to 1991-09-30,0.0019999,500.02
1991-03-31,0.003577,279.58
1990-12-31,0.008089,123.62
1990-03-31,0.045846,21.812
1989-12-31,0.250658,3.9895
