Type,From date,To date,Sterling value of currency unit - £,Currency units per £1
Average,2013-03-31,2014-03-31,0.4314,2.318082
Average,2012-12-31,2013-12-31,0.4339,2.304803
Average,2012-03-31,2013-03-31,0.4167,2.399794
Average,2011-12-31,2012-12-31,0.4143,2.413708
Average,2011-03-31,2012-03-31,0.4467,2.238884
Average,2010-12-31,2011-12-31,0.4438,2.253421
Average,2010-03-31,2011-03-31,0.435,2.2989
Average,2009-12-31,2010-12-31,0.4391,2.2775
Average,2009-03-31,2010-03-31,0.45325,0.45325
Average,2008-12-31,2009-12-31,0.45508,2.1974
Average,2008-03-31,2009-03-31,0.42508,2.3525
Average,2007-12-31,2008-12-31,0.40823,2.4496
Average,2007-03-31,2008-03-31,0.362411,2.7593
Average,2006-12-31,2007-12-31,0.350798,2.8506
Average,2006-03-31,2007-03-31,0.346705,2.8843
Average,2005-12-31,2006-12-31,0.349052,2.8649
Average,2005-03-31,2006-03-31,0.349138,2.8642
Average,2004-12-31,2005-12-31,0.349394,2.8621
