Type,From date,To date,Sterling value of currency unit - £,Currency units per £1
Average,2013-03-31,2014-03-31,0.0007,1516.657115
Average,2012-12-31,2013-12-31,0.0007,1446.222830
Average,2010-12-31,2011-12-31,0.0973,10.276898
Average,2009-03-31,2010-03-31,0.097954,10.2089
Average,2008-12-31,2009-12-31,0.099724,10.0277
Average,2008-03-31,2009-03-31,0.09051,11.0485
Average,2007-12-31,2008-12-31,0.083848,11.9263
Average,2007-03-31,2008-03-31,0.077528,12.8986
Average,2006-12-31,2007-12-31,0.077837,12.8474
Average,2006-03-31,2007-03-31,0.08222670,12.1615
Average,2005-12-31,2006-12-31,0.08445518,11.8406
Average,2005-03-31,2006-03-31,0.08725,11.4616
Average,2004-12-31,2005-12-31,0.085608,11.6811
Average,2004-03-31,2005-03-31,0.08427,11.866
Average,2003-12-31,2004-12-31,0.08496850,11.779
Average,2003-03-31,2004-03-31,0.09399,10.6399
Average,2002-12-31,2003-12-31,0.09811,10.1922
Average,2002-03-31,2003-03-31,0.10054,9.9464
Average,2001-12-31,2002-12-31,0.10141,9.8609
Average,2001-03-28,2002-03-28,0.1037968902,9.6342
Average,2000-12-31,2001-12-31,0.1039760439,9.6176
Average,2000-03-31,2001-03-31,0.1036591687,9.647
Average,1999-12-29,2000-12-29,0.1027601373,9.7314
Average,1999-03-31,2000-03-31,0.1007079771,9.9297
Average,1998-12-30,1999-12-30,0.1000190036,9.9981
Average,1998-03-31,1999-03-31,0.096669,10.3445
Average,1997-12-31,1998-12-31,0.096430,10.3702
Average,1997-03-31,1998-03-31,0.0972,10.2881
Average,1996-12-30,1997-12-30,0.097737,10.2315
Average,1996-03-31,1997-03-31,0.105473,9.4811
Average,1995-12-31,1996-12-31,0.108956,9.178
Average,1995-03-31,1996-03-31,0.113711,8.7942
Average,1994-12-30,1995-12-30,0.11323,8.8316
Average,1994-03-31,1995-03-31,0.109069,9.1685
Average,1993-12-30,1994-12-30,0.10771,9.2842
Average,1993-03-30,1994-03-30,0.106586,9.3821
Average,1992-12-31,1993-12-31,0.106153,9.4204
Average,1992-03-31,1993-03-31,0.0938967,10.65
Average,1991-12-31,1992-12-31,0.0914745,10.932
Average,1991-03-31,1992-03-31,0.0920132,10.868
Average,1990-12-31,1991-12-31,0.0903913,11.063
Average,1990-03-31,1991-03-31,0.088222,11.335
Average,1989-12-31,1990-12-31,0.090555,11.043
Average,1989-03-31,1990-03-31,0.097182,10.290
Average,1988-12-31,1989-12-31,0.098068,10.197
