Type,From date,To date,Sterling value of currency unit - £,Currency units per £1,Currency
Average,2013-03-31,2014-03-31,0.0004,2463.063076,Burundi Franc
Average,2012-12-31,2013-12-31,0.0004,2445.396037,Burundi Franc
Average,2012-03-31,2013-03-31,0.0004,2356.293269,Burundi Franc
Average,2011-12-31,2012-12-31,0.0004,2278.453877,Burundi Franc
Average,2011-03-31,2012-03-31,0.0005,2031.513421,Burundi Franc
Average,2010-12-31,2011-12-31,0.0005,2015.156274,Burundi Franc
Average,2010-03-31,2011-03-31,0.0005,1912.31,Burundi Franc
Average,2009-12-31,2010-12-31,0.0005,1900.76,Burundi Franc
Average,2009-03-31,2010-03-31,0.00051025,1959.83,Burundi Franc
Average,2008-12-31,2009-12-31,0.00051838,1929.10,Burundi Franc
Average,2008-03-31,2009-03-31,0.00048542,2060.04,Burundi Franc
Average,2007-12-31,2008-12-31,0.0004553,2196.36,Burundi Franc
Average,2007-03-31,2008-03-31,0.0004451,2246.85,Burundi Franc
Average,2006-12-31,2007-12-31,0.0004587,2180.06,Burundi Franc
Average,2006-03-31,2007-03-31,0.000517492,1932.3958,Burundi Franc
Average,2005-12-31,2006-12-31,0.000541521,1846.6517,Burundi Franc
Average,2005-03-31,2006-03-31,0.00054,1839.63,Burundi Franc
Average,2004-12-31,2005-12-31,0.0005207,1920.5317,Burundi Franc
Average,2004-03-31,2005-03-31,0.000509,1963.573,Burundi Franc
Average,2003-12-31,2004-12-31,0.00051513,1941.2442,Burundi Franc
Average,2003-03-31,2004-03-31,0.0006,1802.3,Burundi Franc
Average,2002-12-31,2003-12-31,0.00057497,1739.2108,Burundi Franc
Average,2002-03-31,2003-03-31,0.000649,1541.758,Burundi Franc
Average,2001-12-31,2002-12-31,0.0007003,1427.9542,Burundi Franc
Average,2001-03-28,2002-03-28,0.0008230940,1214.928,Burundi Franc
Average,2000-12-31,2001-12-31,0.0008440415,1184.7758,Burundi Franc
Average,2000-03-31,2001-03-31,0.0009039532,1106.252,Burundi Franc
Average,1999-12-29,2000-12-29,0.0009198187,1087.1708,Burundi Franc
Average,1999-03-31,2000-03-31,0.0010355889,965.6341,Burundi Franc
Average,1998-12-30,1999-12-30,0.0010884208,918.7623,Burundi Franc
Average,1998-03-31,1999-03-31,0.0012897,775.3835,Burundi Franc
Average,1997-12-31,1998-12-31,0.0013627,733.8387,Burundi Franc
Average,1997-03-31,1998-03-31,0.001695,589.9479,Burundi Franc
Average,1996-12-30,1997-12-30,0.0019199,520.8658,Burundi Franc
Average,1996-03-31,1997-03-31,0.002475,403.9885,Burundi Franc
Average,1995-12-31,1996-12-31,0.002468,405.1671,Burundi Franc
Average,1995-03-31,1996-03-31,0.002552,391.8795,Burundi Franc
Average,1994-12-30,1995-12-30,0.002565,389.8616,Burundi Franc
Average,1994-03-31,1995-03-31,0.00257,389.1501,Burundi Franc
Average,1993-12-30,1994-12-30,0.002562,390.385,Burundi Franc
Average,1993-03-30,1994-03-30,0.002686,372.2492,Burundi Franc
Average,1992-12-31,1993-12-31,0.002757,362.7658,Burundi Franc
Average,1992-03-31,1993-03-31,0.0027277,366.60,Burundi Franc
Average,1991-12-31,1992-12-31,0.0027392,365.06,Burundi Franc
Average,1991-03-31,1992-03-31,0.0031108,321.46,Burundi Franc
Average,1990-12-31,1991-12-31,0.0031973,312.76,Burundi Franc
Average,1990-03-31,1991-03-31,0.003242,308.44,Burundi Franc
Average,1989-12-31,1990-12-31,0.003316,301.55,Burundi Franc
