Average for year to,Sterling value of currency unit - £,Currency units per £1
2014-03-31,0.5434,1.8401
2014-03-31,0.5998,1.667123
2013-12-31,0.5682,1.7598
2013-12-31,0.622,1.607662
2013-03-31,0.6456,1.5489
2013-03-31,0.6318,1.582757
2012-12-31,0.6179,1.6185
2012-12-31,0.6315,1.583601
2012-03-31,0.6262,1.5969
2012-03-31,0.632,1.582388
2011-12-31,0.6319,1.5825
2011-12-31,0.6312,1.584378
2011-03-31,0.6413,1.5593
2011-03-31,0.6326,1.5808
2010-12-31,0.6428,1.5557
2010-12-31,0.6272,1.5942
2010-03-31,0.64977,1.5390
2010-03-31,0.57478,1.7398
2009-12-31,0.59067,1.6930
2009-12-31,0.56177,1.7801
2009-03-31,0.55451,1.8034
2009-03-31,0.52323,1.9112
2008-12-31,0.56341,1.7749
2008-12-31,0.50981,1.9615
2008-03-31,0.490364,2.0393
2008-03-31,0.482501,2.0725
2007-12-31,0.509009,1.9646
2007-12-31,0.465473,2.1484
2007-03-30,0.44194988,2.2627
2007-03-31,0.4636713,2.1567
2006-12-29,0.43905866,2.2776
2006-12-31,0.47844601,2.0901
2006-03-31,0.494193,2.0235
2006-03-31,0.46300941,2.1598
2005-12-30,0.498654,2.0054
2005-12-31,0.45324752,2.2063
2005-03-31,0.437426,2.2861
2005-03-31,0.4242141,2.3573
2004-12-31,0.4347259,2.3003
2004-12-31,0.4194631,2.384
2004-03-31,0.414010102,2.4154
2004-03-31,0.436815,2.2893
2003-12-31,0.432282886,2.3133
2003-12-31,0.437044,2.2881
2003-03-31,0.430089,2.3251
2003-03-31,0.417449,2.3955
2002-12-31,0.3931899,2.5433
2002-12-31,0.423998,2.3585
2002-03-28,0.4401602183,2.2719
2002-03-28,0.4461895413,2.2412
2001-12-31,0.4304407713,2.3232
2001-12-31,0.4484304933,2.23
2001-03-30,0.4467077638,2.2386
2001-03-31,0.4496807267,2.2238
2000-12-29,0.4456923831,2.2437
2000-12-29,0.4443457010,2.2505
2000-03-31,0.4317602867,2.3161
2000-03-31,0.4218341348,2.3706
1999-12-31,0.4275148561,2.3391
1999-12-30,0.4159560750,2.4041
1999-03-31,0.409483,2.4421
1999-03-31,0.40204,2.4873
1998-12-31,0.391313,2.5555
1998-12-31,0.40670,2.4588
1998-03-31,0.419903,2.3815
1998-03-31,0.43425,2.3028
1997-12-31,0.4247005,2.3546
1997-12-30,0.44113,2.2669
1997-03-31,0.440858,2.2683
1997-03-31,0.46324,2.1587
1996-12-31,0.4263301,2.3456
1996-12-31,0.46964,2.1293
1996-03-31,0.4808154,2.0798
1996-03-31,0.468604,2.134
1995-12-30,0.472255,2.1175
1995-12-30,0.461553,2.1666
1995-03-31,0.4657675,2.2848
1995-03-31,0.4652461,2.1494
1994-12-30,0.4556846,2.1945
1994-12-30,0.478034,2.0919
1994-03-30,0.490605,2.0383
1994-03-30,0.507408,1.9708
1993-12-31,0.510517,1.9588
1993-12-31,0.515996,1.938
1993-03-31,0.5567468,1.829
1993-03-31,0.4818116,2.0755
1992-12-31,0.5768676,1.7335
1992-12-31,0.4549176,2.1982
1992-03-31,0.4840271,2.0660
1992-03-31,0.4841677,2.0654
1991-12-31,0.4624770,2.1626
1991-12-31,0.4930966,2.0280
1991-03-28,0.497265,2.0110
1991-03-31,0.462193,2.1636
1990-12-31,0.446429,2.2400
1990-12-31,0.480538,2.0810
1990-03-30,0.518941,1.9270
1990-03-31,0.519588,1.9246
1989-12-29,0.535475,1.8675
1989-12-31,0.516236,1.9371
