Average for year to,Sterling value of currency unit - £,Currency units per £1
2014-03-31,0.7691,1.300207
2013-12-31,0.7799,1.282288
2013-03-31,0.7714,1.296357
2012-12-31,0.7708,1.297328
2012-03-31,0.0468,21.388360
2011-12-31,0.0615,16.269574
2011-03-31,0.7855,1.2730
2010-12-31,0.7896,1.2664
2010-03-31,0.76529,1.3067
2009-12-31,0.77815,1.2851
2009-03-31,0.71271,1.4031
2008-12-31,0.65937,1.5166
2008-03-31,0.591296,1.6912
2007-12-31,0.587234,1.7029
2007-03-31,0.615687723,1.6242
2006-12-31,0.636456212,1.5712
2006-03-31,0.67686,1.4774
2005-12-31,0.66622252,1.501
2005-03-31,0.656599,1.523
2004-12-31,0.66198861,1.5106
2004-03-31,0.71495,1.3987
2003-12-31,0.74145473,1.3487
2003-03-31,0.786164,1.272
2002-12-31,0.80827675,1.2372
2002-03-28,0.8509189925,1.1752
2001-12-31,0.8470986870,1.1805
2001-03-31,0.8192020972,1.2207
2000-12-29,0.8037293040,1.2442
2000-03-31,0.7597052344,1.3163
1999-12-30,0.7500750075,1.3332
1999-03-31,0.72918,1.3714
1998-12-31,0.72664,1.3762
1998-03-31,0.735889,1.3589
1997-12-30,0.7362144,1.3583
1997-03-31,0.752672,1.3286
1996-12-31,0.765404,1.3065
1996-03-31,0.768817,1.3007
1995-12-30,0.762253,1.3119
1995-03-31,0.781861,1.279
1994-12-30,0.793966,1.2595
1994-03-30,0.786164,1.272
1993-12-31,0.782901,1.2773
1993-03-31,0.6949753,1.4389
1992-12-31,0.6671114,1.499
1992-03-31,0.6927126,1.4436
1991-12-31,0.8719003,1.4692
1991-03-31,0.654407,1.5281
1990-12-31,0.679117,1.4725
