Type,From date,To date,Sterling value of currency unit - £,Currency units per £1
Average,2013-03-31,2014-03-31,0.0003,3041.423846
Average,2012-12-31,2013-12-31,0.0003,2912.133018
Average,2012-03-31,2013-03-31,0,2838.02
Average,2011-12-31,2012-12-31,0,2846.81
Average,2011-03-31,2012-03-31,0.0003,2918.78
Average,2010-12-31,2011-12-31,0.0003,2959.414509
Average,2010-03-31,2011-03-31,0.0003,2919.66
Average,2009-12-31,2010-12-31,0.0003,2932.07
Average,2009-03-31,2010-03-31,0.00031414,3183.33
Average,2008-12-31,2009-12-31,0.00029771,3358.97
Average,2008-03-31,2009-03-31,0.00028288,3535.02
Average,2007-12-31,2008-12-31,0.00027714,3608.31
Average,2007-03-31,2008-03-31,0.00024941,4009.40
Average,2006-12-31,2007-12-31,0.00024095,4150.21
Average,2006-03-31,2007-03-31,0.00022517,4441.0926
Average,2005-12-31,2006-12-31,0.00022998,4348.138
Average,2005-03-31,2006-03-31,0.00024346,4107.4241
Average,2004-12-31,2005-12-31,0.000236556,4227.3334
Average,2004-03-31,2005-03-31,0.0002139,4674.58
Average,2003-12-31,2004-12-31,0.000208,4803.5
Average,2003-03-31,2004-03-31,0.00021,4656.48
Average,2002-12-31,2003-12-31,0.00022,4592.52
Average,2002-03-31,2003-03-31,0.00024,4153.78
Average,2001-12-31,2002-12-31,0.00026,3790.01
Average,2001-03-28,2002-03-28,0.0003023496,3307.4299
Average,2000-12-31,2001-12-31,0.0003014819,3316.9487
Average,2000-03-31,2001-03-31,0.0003108519,3216.9658
Average,1999-12-29,2000-12-29,0.0003150050,3174.5532
Average,1999-03-31,2000-03-31,0.0003347793,2987.0423
Average,1998-12-30,1999-12-30,0.0003516320,2843.8825
Average,1998-03-31,1999-03-31,0.00040795,2451.284
Average,1997-12-31,1998-12-31,0.00042244,2367.175
Average,1997-03-31,1998-03-31,0.000501,1997.295
Average,1996-12-30,1997-12-30,0.000534,1872.778
Average,1996-03-31,1997-03-31,0.000605,1651.973
Average,1995-12-31,1996-12-31,0.000619,1616.58
Average,1995-03-31,1996-03-31,0.000668,1496.662
Average,1994-12-30,1995-12-30,0.000694,1441.65
Average,1994-03-31,1995-03-31,0.00077,1299.091
Average,1993-12-30,1994-12-30,0.00079,1265.769
Average,1993-03-30,1994-03-30,0.000817,1223.298
Average,1992-12-31,1993-12-31,0.000818,1222.858
Average,1992-03-31,1993-03-31,0.0008616,1160.3
Average,1991-12-31,1992-12-31,0.0008846,1130.4
Average,1991-03-31,1992-03-31,0.0009282,1077.3
Average,1990-12-31,1991-12-31,0.0009316,1073.4
Average,1990-03-31,1991-03-31,0.000988,1012
Average,1989-12-31,1990-12-31,0.001124,889.32
Average,1989-03-31,1990-03-31,0.001544,647.81
Average,1988-12-31,1989-12-31,0.001754,570.27
