Average for year to,Sterling value of currency unit - £,Currency units per £1
2014-03-31,0.0007,1447.820423
2013-12-31,0.0007,1401.709924
2013-03-31,0.0007,1428.350653
2012-12-31,0.0007,1454.907551
2012-03-31,0.0007,1455.135657
2011-12-31,0.0007,1458.637352
2011-03-31,0.0007,1408.80
2010-12-31,0.0007,1398.04
2010-03-31,0.00073807,1354.89
2009-12-31,0.0007917,1263.11
2009-03-31,0.00097692,1023.63
2008-12-31,0.00096873,1032.28
2008-03-31,0.0008954,1116.84
2007-12-31,0.0008997,1111.48
2007-03-31,0.00106872,935.6975
2006-12-31,0.00116377,859.2795
2006-03-31,0.00115695,864.3402
2005-12-31,0.00112759,886.8474
2005-03-31,0.00125385,797.5428
2004-12-31,0.00132757,753.258
2004-03-31,0.00138991,719.4719
2003-12-31,0.00142371,702.3912
2003-03-31,0.00174842,571.9449
2002-12-31,0.0019021,525.7336
2001-10-19 to 2002-03-28,0.0021436503,466.494
2001-04-01 to 2001-10-12,0.1547580358,6.4617
2001-10-19 to 2001-12-31,0.0021798289,458.7516
2001-01-01 to 2001-10-12,0.1540499738,6.4914
2001-03-31,0.1502020217,6.6577
2000-12-29,0.1465781335,6.8223
2000-03-31,0.0000904041,11061.44
1999-12-30,0.0000148916,67151.89
1999-03-31,223581.9,0.0000044726
1998-12-31,224147.7,0.0000044613
