Average for year to,Sterling value of currency unit - £,Currency units per £1
2014-03-31,0.0012,800.230134
2013-12-31,0.0013,781.661754
2013-03-31,0.0013,791.741903
2012-12-31,0.0013,795.485020408163
2012-03-31,0.0012,813.537868
2011-12-31,0.0012,810.964078
2011-03-31,0.0013,797.682
2010-12-31,0.0012,812.658
2010-03-31,0.0011031,906.539
2009-12-31,0.0011126,898.802
2009-03-31,0.0010768,928.677
2008-12-31,0.0010274,973.351
2008-03-31,0.0009752,1025.41
2007-12-31,0.0009677,1033.37
2007-03-31,0.001018967,981.3863
2006-12-31,0.001056121,946.8613
2006-03-31,0.00115,869.708
2005-12-31,0.00114992,869.6228
2005-03-31,0.001204,830.7517
2004-12-31,0.00124181,805.2731
2004-03-31,0.00143,699.2543
2003-12-31,0.00151841,658.5835
2003-03-31,0.001739,574.9884
2002-12-31,0.00183509,544.9313
2002-03-28,0.0020782473,481.1747
2001-12-31,0.0021090795,474.1405
2001-03-31,0.0021634977,462.2145
2000-12-29,0.0021437748,466.4669
2000-03-31,0.0021247184,470.6506
1999-12-30,0.0021676443,461.3303
1999-03-31,0.0022899,436.6955
1998-12-31,0.0023373,427.8467
1998-03-31,0.002567,389.5695
1997-12-30,0.0026354,379.4464
1997-03-31,0.002967,337.0134
1996-12-31,0.003115,321.0629
1996-03-31,0.003436,290.9993
1995-12-30,0.003555,281.7193
1995-03-31,0.004041,247.4913
1994-12-30,0.00419,238.6526
1993-03-31,0.0043374,230.55
1992-12-31,0.0041354,241.81
1992-03-31,0.0044294,225.76
1991-12-31,0.0046412,215.46
1991-03-31,0.005593,178.79
1990-12-31,0.006177,161.88
