Type,From date,To date,Sterling value of currency unit - £,Currency units per £1
Average,2013-03-31,2014-03-31,0.6307,1.585617
Average,2012-12-31,2013-12-31,0.6395,1.563767
Average,2012-03-31,2013-03-31,0.6325,1.580919
Average,2011-12-31,2012-12-31,0.6321,1.582097
Average,2011-03-31,2012-03-31,0.6225,1.606513
Average,2010-12-31,2011-12-31,0.6237,1.603278
Average,2010-03-31,2011-03-31,0.6441,1.5524
Average,2009-12-31,2010-12-31,0.6475,1.5444
Average,2009-03-31,2010-03-31,0.62755,1.5935
Average,2008-12-31,2009-12-31,0.63804,1.5673
Average,2008-03-31,2009-03-31,0.58796,1.7008
Average,2007-12-31,2008-12-31,0.54765,1.826
Average,2007-03-31,2008-03-31,0.507125,1.9719
Average,2006-12-31,2007-12-31,0.505382,1.9787
Average,2006-03-31,2007-03-31,0.526038927,1.901
Average,2005-12-31,2006-12-31,0.54103771,1.8483
Average,2005-03-31,2006-03-31,0.56132,1.7815
Average,2004-12-31,2005-12-31,0.55060015,1.8162
Average,2004-03-31,2005-03-31,0.541565,1.8465
Average,2003-12-31,2004-12-31,0.54603036,1.8314
Average,2003-03-31,2004-03-31,"01/04/03 - 31/12/03 = 0.02866775
          01/01/04 - 31/03/04 = 0.54677675","01/04/03 - 31/12/03 = 34.8824
          01/01/04 - 31/03/04 = 1.8289"
Average,2002-12-31,2003-12-31,0.0289532,34.5385
Average,2002-03-31,2003-03-31,0.030697,32.5763
Average,2001-12-31,2002-12-31,0.03156207,31.6836
Average,2001-03-28,2002-03-28,0.0332256821,30.0972
Average,2000-12-31,2001-12-31,0.0330786279,30.231
Average,2000-03-31,2001-03-31,0.0332148670,30.107
Average,1999-12-29,2000-12-29,0.0323568050,30.9054
Average,1999-03-31,2000-03-31,0.0288848707,34.6202
Average,1998-12-30,1999-12-30,0.0281466553,35.5282
Average,1998-03-31,1999-03-31,0.026325,37.9873
Average,1997-12-31,1998-12-31,0.026193,38.1782
Average,1997-03-31,1998-03-31,0.027909,35.8312
Average,1996-12-30,1997-12-30,0.0292611,34.1751
Average,1996-12-01,1997-03-31,0.032084,31.1678
Average,1996-04-01,1996-11-30,0.643459,1.5541
Average,1996-12-01,1996-12-31,0.032059,31.1923
Average,1996-01-01,1996-11-30,0.645827,1.5484
Average,1995-03-31,1996-03-31,0.63678,1.5704
Average,1994-12-30,1995-12-30,0.631632,1.5832
Average,1994-03-31,1995-03-31,0.731636,1.3668
Average,1993-12-30,1994-12-30,0.797894,1.2533
Average,1993-03-30,1994-03-30,0.877655,1.1394
Average,1992-12-31,1993-12-31,0.879507,1.137
Average,1992-03-31,1993-03-31,0.7751337,1.2901
Average,1991-12-31,1992-12-31,0.7398091,1.3517
Average,1991-03-31,1992-03-31,0.6624710,1.5095
Average,1990-12-31,1991-12-31,0.6444544,1.5517
Average,1990-03-31,1991-03-31,0.683574,1.4629
Average,1989-12-31,1990-12-31,0.709371,1.4097
