Average for year to,"Sterling value of currency unit 
        £","Currency units per £ 
        S."
2014-03-31,0.8436,1.185417
2013-12-31,0.8486,1.178398
2013-03-31,0.8141,1.228351
2012-12-31,0.8107,1.233473
2008-03-31,1.184865,0.84398
2007-12-31,1.177302,0.8494
2007-03-31,1.175364363,0.8508
2006-12-31,1.185677022,0.8434
2006-03-31,1.18807,0.8417
2005-12-31,1.18511496,0.8438
2005-03-31,1.175226,0.8509
2004-12-31,1.16658889,0.8572
2004-03-31,1.181056,0.8467
2003-12-31,1.18357202,0.8449
2003-03-31,1.117943,0.8945
2002-12-31,1.09421162,0.9139
2002-03-28,1.0698619878,0.9347
2001-12-31,1.0759629869,0.9294
2001-03-31,1.0670081093,0.9372
2000-12-29,1.0584250635,0.9448
2000-03-31,1.1009578333,0.9083
1999-12-30,1.1308379509,0.8843
1999-03-31,1.17357,0.8521
1998-12-31,1.163332,0.8596
1998-03-31,1.168361,0.8559
1997-12-30,1.1899096,0.8404
1997-03-31,1.333511,0.7499
1996-12-31,1.37874,0.7253
1996-03-31,1.409642,0.7094
1995-12-30,1.395673,0.7165
1995-03-31,1.337614,0.7476
1994-12-30,1.323627,0.7555
1994-03-30,1.323977,0.7553
1993-12-31,1.347346,0.7422
1993-03-31,1.2965123,0.7713
1992-12-31,1.2599218,0.7937
1992-03-31,1.2397718,0.8066
1991-12-31,1.2307692,0.8125
1991-03-31,1.212415,0.8248
1990-12-31,1.231376,0.8121
2005-03-31,1.175226,0.8509
2004-12-31,1.16658889,0.8572
2004-03-31,1.181056,0.8467
2003-12-31,1.18357202,0.8449
2003-03-31,1.117943,0.8945
2002-12-31,1.09421162,0.9139
2002-03-28,1.0698619878,0.9347
2001-12-31,1.0759629869,0.9294
2001-03-31,1.0670081093,0.9372
2000-12-29,1.0584250635,0.9448
2000-03-31,1.1009578333,0.9083
1999-12-30,1.1308379509,0.8843
1999-03-31,1.17357,0.8521
1998-12-31,1.163332,0.8596
1998-03-31,1.168361,0.8559
1997-12-30,1.1899096,0.8404
1997-03-31,1.333511,0.7499
1996-12-31,1.37874,0.7253
1996-03-31,1.409642,0.7094
1995-12-30,1.395673,0.7165
1995-03-31,1.337614,0.7476
1994-12-30,1.323627,0.7555
1994-03-30,1.323977,0.7553
1993-12-31,1.347346,0.7422
1993-03-31,1.2965123,0.7713
1992-12-31,1.2599218,0.7937
1992-03-31,1.2397718,0.8066
1991-12-31,1.2307692,0.8125
1991-03-31,1.212415,0.8248
1990-12-31,1.231376,0.8121
