Average for year to,Sterling value of currency unit - £,Currency units per £1
2014-03-31,0.032,31.288415
2013-12-31,0.0328,30.507841
2013-03-31,0.0323,30.986419
2012-12-31,0.0322,31.050883
2012-03-31,0.0355,28.175426
2011-12-31,0.0353,28.314162
2011-03-31,0.0341,29.3266
2010-12-31,0.0339,29.4579
2010-03-31,0.034058,29.3613
2009-12-31,0.033554,29.8025
2009-03-31,0.032657,30.6209
2008-12-31,0.032035,31.2163
2008-03-31,0.02615,38.2403
2007-12-31,0.024726,40.4435
2007-03-31,0.024039097,41.5989
2006-12-31,0.024153656,41.4016
2006-03-31,0.02318,43.1314
2005-12-31,0.02290426,43.66
2005-03-31,0.021905,45.652
2004-12-31,0.02127596,47.0014
2004-03-31,0.021522,46.464
2003-12-31,0.02172737,46.0249
2003-03-31,0.020939,47.7581
2002-12-31,0.02048165,48.8242
2002-03-28,0.0185827667,53.8133
2001-12-31,0.0182516723,54.7895
2001-03-31,0.0173737493,57.5581
2000-12-29,0.0170898104,58.5144
2000-03-31,0.0180234088,55.4834
1999-12-30,0.0183130059,54.606
1999-03-31,0.018855,53.0363
1998-12-31,0.018744,53.3515
1998-03-31,0.01837,54.4364
1997-12-30,0.0192997,51.8142
1997-03-31,0.023023,43.4344
1996-12-31,0.023671,42.245
1996-03-31,0.024097,41.4991
1995-12-30,0.023803,42.0109
1995-03-31,0.022797,43.8646
1994-12-30,0.022654,44.1431
1993-03-31,0.0208025,48.071
1992-12-31,0.0199342,50.165
1992-03-31,0.0194977,51.288
1991-12-31,0.0194522,51.408
1991-03-31,0.027133,36.856
1990-12-31,0.032457,30.810
