Type,From date,To date,Sterling value of currency unit - £,Currency units per £1,Currency
Average,2013-03-31,2014-03-31,0.1107,9.031,Danish Krone
Average,2013-03-31,2014-03-31,0.1131,8.841261,Danish Krone
Average,2012-12-31,2013-12-31,0.1115,8.9671,Danish Krone
Average,2012-12-31,2013-12-31,0.1138,8.788083,Danish Krone
Average,2012-03-31,2013-03-31,0.1131,8.8392,Danish Krone
Average,2012-03-31,2013-03-31,0.1093,9.150131,Danish Krone
Average,2011-12-31,2012-12-31,0.1087,9.1989,Danish Krone
Average,2011-12-31,2012-12-31,0.1089,9.181059,Danish Krone
Average,2011-03-31,2012-03-31,0.112,8.9259,Danish Krone
Average,2011-03-31,2012-03-31,0.116,8.623805,Danish Krone
Spot,,2011-12-31,0.1124,8.8978,Danish Krone
Average,2010-12-31,2011-12-31,0.1166,8.576243,Danish Krone
Spot,,2011-03-31,0.1187,8.4221,Danish Krone
Average,2010-03-31,2011-03-31,0.114,8.7744,Danish Krone
Spot,,2010-12-31,0.115,8.697,Danish Krone
Average,2009-12-31,2010-12-31,0.1151,8.6860,Danish Krone
Spot,,2010-03-31,0.11982,8.3459,Danish Krone
Average,2009-03-31,2010-03-31,0.11893,8.4083,Danish Krone
Spot,,2009-12-31,0.1194,8.3750,Danish Krone
Average,2008-12-31,2009-12-31,0.11964,8.3581,Danish Krone
Spot,,2009-03-31,0.12436,8.0409,Danish Krone
Average,2008-03-31,2009-03-31,0.11147,8.971,Danish Krone
Spot,,2008-12-31,0.12989,7.6987,Danish Krone
Average,2007-12-31,2008-12-31,0.10658,9.3823,Danish Krone
Spot,,2008-03-31,0.106911,9.3536,Danish Krone
Average,2007-03-31,2008-03-31,0.094606,10.5702,Danish Krone
Spot,,2007-12-31,0.098501,10.1522,Danish Krone
Average,2006-12-31,2007-12-31,0.091828,10.8900,Danish Krone
Spot,,2007-03-30,0.09108381,10.9789,Danish Krone
Average,2006-03-31,2007-03-31,0.0908975,11.0014,Danish Krone
Spot,,2006-12-29,0.09038241,11.0641,Danish Krone
Average,2005-12-31,2006-12-31,0.09141018,10.9397,Danish Krone
Spot,,2006-03-31,0.093491,10.6962,Danish Krone
Average,2005-03-31,2006-03-31,0.09146997,10.93255,Danish Krone
Spot,,2005-12-30,0.092117,10.8558,Danish Krone
Average,2004-12-31,2005-12-31,0.0917507,10.8991,Danish Krone
Spot,,2005-03-31,0.092322,10.8316,Danish Krone
Average,2004-03-31,2005-03-31,0.0916414,10.9121,Danish Krone
Spot,,2004-12-31,0.0951764,10.5068,Danish Krone
Average,2003-12-31,2004-12-31,0.0911868,10.9655,Danish Krone
Spot,,2004-03-31,0.08981337,11.1342,Danish Krone
Average,2003-03-31,2004-03-31,0.093397,10.7070,Danish Krone
Spot,,2003-12-31,0.09463066,10.5674,Danish Krone
Average,2002-12-31,2003-12-31,0.093090,10.7423,Danish Krone
Average,2002-03-31,2003-03-31,0.086427,11.5705,Danish Krone
