Type,From date,To date,Sterling value of currency unit - £,Currency units per £1
Average,2013-03-31,2014-03-31,0.0909,10.998159
Average,2012-12-31,2013-12-31,0.0935,10.699456
Average,2012-03-31,2013-03-31,0.1018,9.825932
Average,2011-12-31,2012-12-31,0.1042,9.598010
Average,2011-03-31,2012-03-31,0.1044,9.583036
Average,2010-12-31,2011-12-31,0.105,9.519580
Average,2010-03-31,2011-03-31,0.1125,8.88735
Average,2009-12-31,2010-12-31,0.115,8.6949
Average,2009-03-31,2010-03-31,0.11362,8.8012
Average,2008-12-31,2009-12-31,0.11518,8.6820
Average,2008-03-31,2009-03-31,0.10684,9.3599
Average,2007-12-31,2008-12-31,0.099289,10.0716
Average,2007-03-31,2008-03-31,0.089079,11.226
Average,2006-12-31,2007-12-31,0.0885575,11.2921
Average,2006-03-31,2007-03-31,0.09211241,10.8563
Average,2005-12-31,2006-12-31,0.09446082,10.5864
Average,2005-03-31,2006-03-31,0.09713,10.2955
Average,2004-12-31,2005-12-31,0.094895,10.538
Average,2004-03-31,2005-03-31,0.08855,11.2929
Average,2003-12-31,2004-12-31,0.08791269,11.3764
Average,2003-03-31,2004-03-31,0.09687,10.3236
Average,2002-12-31,2003-12-31,0.10417,9.5996
Average,2002-03-31,2003-03-31,0.1342228,7.4503
Average,2001-12-31,2002-12-31,0.1435998,6.9638
Average,2001-03-28,2002-03-28,0.1644763894,6.0799
Average,2000-12-31,2001-12-31,0.1711654657,5.8423
Average,2000-03-31,2001-03-31,0.1854255516,5.393
Average,1999-12-29,2000-12-29,0.1866368048,5.358
Average,1999-03-31,2000-03-31,0.1813466804,5.5143
Average,1998-12-30,1999-12-30,0.1807468460,5.5326
Average,1998-03-31,1999-03-31,0.17695,5.6512
Average,1997-12-31,1998-12-31,0.17657,5.6636
Average,1997-03-31,1998-03-31,0.178859,5.591
Average,1996-12-30,1997-12-30,0.179569,5.5689
Average,1996-03-31,1997-03-31,0.185285,5.3971
Average,1995-12-31,1996-12-31,0.188115,5.3159
Average,1995-03-31,1996-03-31,0.187498,5.3334
Average,1994-12-30,1995-12-30,0.185922,5.3786
Average,1994-03-31,1995-03-31,0.189516,5.2766
Average,1993-12-30,1994-12-30,0.192771,5.1875
Average,1993-03-30,1994-03-30,0.198425,5.0397
Average,1992-12-31,1993-12-31,0.19974,5.0065
Average,1992-03-31,1993-03-31,0.1785267,5.6014
Average,1991-12-31,1992-12-31,0.170981,5.8486
Average,1991-03-31,1992-03-31,0.0622897,16.054
Average,1990-12-31,1991-12-31,0.0623558,16.037
Average,1990-03-31,1991-03-31,0.184546,5.4187
Average,1989-12-31,1990-12-31,0.206467,4.8434
Average,1989-03-31,1990-03-31,0.246475,4.0572
Average,1988-12-31,1989-12-31,0.257885,3.8777
