Type,From date,To date,Sterling value of currency unit - £,Currency units per £1
Average,2013-03-31,2014-03-31,0.0721,13.8699
Average,2012-12-31,2013-12-31,0.0731,13.678796
Average,2012-03-31,2013-03-31,0.0723,13.828840
Average,2011-12-31,2012-12-31,0.0723,13.839181
Average,2011-03-31,2012-03-31,0.0712,14.0528447
Average,2010-12-31,2011-12-31,0.0713,14.0245470
Average,2010-03-31,2011-03-31,0.0736,13.5802
Average,2009-12-31,2010-12-31,0.074,13.5101
Average,2009-03-31,2010-03-31,0.071741,13.9391
Average,2008-12-31,2009-12-31,0.072936,13.7107
Average,2008-03-31,2009-03-31,0.066781,14.9744
Average,2007-12-31,2008-12-31,0.06178,16.1864
Average,2007-03-31,2008-03-31,0.056795,17.6071
Average,2006-12-31,2007-12-31,0.056979,17.5503
Average,2006-03-31,2007-03-31,0.060107352,16.6369
Average,2005-12-31,2006-12-31,0.061820745,16.1758
Average,2005-03-31,2006-03-31,0.06414,15.5912
Average,2004-12-31,2005-12-31,0.06291207,15.8952
Average,2004-03-31,2005-03-31,0.06188,16.1604
Average,2003-12-31,2004-12-31,0.06239082,16.028
Average,2003-03-31,2004-03-31,0.067094,14.9044
Average,2002-12-31,2003-12-31,0.06948449,14.3917
Average,2002-03-31,2003-03-31,0.073698,13.5688
Average,2001-12-31,2002-12-31,0.0757748,13.197
Average,2001-03-28,2002-03-28,0.0797689890,12.5362
Average,2000-12-31,2001-12-31,0.0794211785,12.5911
Average,2000-03-31,2001-03-31,0.0775205817,12.8998
Average,1999-12-29,2000-12-29,0.0755692252,13.2329
Average,1999-03-31,2000-03-31,0.0710767416,14.0693
Average,1998-12-30,1999-12-30,0.0708792572,14.1085
Average,1998-03-31,1999-03-31,0.069196,14.4518
Average,1997-12-31,1998-12-31,0.068827,14.5292
Average,1997-03-31,1998-03-31,0.069615,14.3648
Average,1996-12-30,1997-12-30,0.0696476,14.358
Average,1996-03-31,1997-03-31,0.072166,13.8569
Average,1995-12-31,1996-12-31,0.073389,13.6261
Average,1995-03-31,1996-03-31,0.072725,13.7504
Average,1994-12-30,1995-12-30,0.072103,13.8691
Average,1994-03-31,1995-03-31,0.073625,13.5824
Average,1993-12-30,1994-12-30,0.074847,13.3605
Average,1993-03-30,1994-03-30,0.076116,13.1378
Average,1992-12-31,1993-12-31,0.076422,13.0853
Average,1992-03-31,1993-03-31,0.0703383,14.217
Average,1991-12-31,1992-12-31,0.06832,14.637
Average,1991-03-31,1992-03-31,0.0716948,13.948
Average,1990-12-31,1991-12-31,0.0716794,13.951
Average,1990-03-31,1991-03-31,0.081873,12.214
Average,1989-12-31,1990-12-31,0.088660,11.279
