Average for year to,Sterling value of currency unit - £,Currency units per £1
1998-03-31,0.675813,1.4797
1997-12-30,0.690036,1.4492
1997-03-31,0.774533,1.2911
1996-12-31,0.80141,1.2478
1996-03-31,0.825083,1.212
1995-12-30,0.819605,1.2201
1995-03-31,0.784068,1.2754
1994-12-30,0.773216,1.2933
1994-03-30,0.766166,1.3052
1993-12-31,0.778331,1.2848
1993-03-31,0.7570022,1.321
1992-12-31,0.7346998,1.3611
1992-03-31,0.7068136,1.4148
1991-12-31,0.7050197,1.4184
1991-03-31,0.709270,1.4099
1990-12-31,0.716589,1.3955
1990-03-31,0.726744,1.3760
1989-12-31,0.703829,1.4208
