Average for year to,Sterling value of currency unit - £,Currency units per £1
2014-03-31,0.8267,1.2096
2014-03-31,0.8436,1.185417
2013-12-31,0.8319,1.202
2013-12-31,0.8486,1.178398
2013-03-31,0.8434,1.1857
2013-03-31,0.8141,1.228351
2012-12-31,0.811,1.233
2012-12-31,0.8107,1.233473
2012-03-31,0.8335,1.1998
2012-03-31,0.8634,1.158234
2011-12-31,0.8353,1.1972
2011-12-31,0.8683,1.151701
2011-03-31,0.8853,1.1296
2011-03-31,0.849,1.1779
2010-12-31,0.8568,1.1671
2010-12-31,0.8573,1.1664
2010-03-31,0.89198,1.1211
2010-03-31,0.88511,1.1298
2009-12-31,0.88849,1.1255
2009-12-31,0.89008,1.1235
2009-03-31,0.92627,1.0796
2009-03-31,0.83043,1.2042
2008-12-31,0.96674,1.0344
2008-12-31,0.79453,1.2586
2008-03-31,0.797257,1.2543
2008-03-31,0.70532,1.4178
2007-12-31,0.734484,1.3615
2007-12-31,0.684755,1.4604
2007-03-30,0.67865626,1.4735
2006-12-29,0.67376364,1.4842
2007-03-31,0.6779661,1.475
2006-12-31,0.68184917,1.4666
2006-03-31,0.697691,1.4333
2005-12-30,0.687096,1.4554
2006-03-31,0.681956,1.4664
2005-12-31,0.68371393,1.4626
2005-03-31,0.68166326,1.467
2004-12-31,0.67842605,1.474
2005-03-31,0.687757,1.454
2004-12-31,0.7079646,1.4125
2004-03-31,0.694444,1.4400
2003-12-31,0.691706,1.4457
2004-03-31,0.668672685,1.4955
2003-12-31,0.704622322,1.4192
2003-03-31,0.642137,1.5573
2002-12-31,0.628694,1.5906
2003-03-31,0.6903216,1.4486
2002-12-31,0.6518055,1.5342
2002-03-28,0.6172077521,1.6202
2001-12-31,0.6216972334,1.6085
2002-03-28,0.6126324818,1.6323
2001-12-31,0.6117704637,1.6346
2001-03-31,0.613346,1.6304
2000-12-29,0.608754,1.6427
2001-03-30,0.6218132073,1.6082
2000-12-29,0.6284960091,1.5911
2000-03-31,0.6397952655,1.563
1999-12-30,0.6575918985,1.5207
2000-03-31,0.5998080614,1.6672
1999-12-31,0.6218905473,1.608
1999-03-31,0.68273,1.4647
1998-12-31,0.67645 (ECU),1.4783 (ECU)
1999-03-31,0.66876,1.4953
1998-12-31,0.70577 (ECU),1.4169 (ECU)
