Average for year to,Sterling value of currency unit - £,Currency units per £1
2014-03-31,0.8436,1.185417
2013-12-31,0.8486,1.178398
2013-03-31,0.8141,1.2283519
2012-12-31,0.8107,1.2334730
2001-04-01 to 2002-02-27,0.0941256201,10.6241
2002-01-01 to 2002-03-28,0.6148548942,1.6264 (Euro)
2002-03-28,0.6126324818,1.6323 (Euro)
2002-02-27,0.0929851968,10.7544
2001-12-31,0.0947723568,10.5516
2001-03-31,0.0935086308,10.6942
2001-12-31,0.0932670515,10.7219
2000-12-29,0.0928453382,10.7706
2000-03-31,0.0976133535,10.2445
2000-12-29,0.0958138911,10.4369
2000-03-31,0.0914419481,10.9359
2000-03-30,0.0947948166,10.5491
1999-12-30,0.1003774191,9.9624
1999-03-31,0.10366,9.6473
1999-12-31,0.0948109943,10.5473
1999-03-31,0.1019534,9.8084
1998-12-31,0.10237,9.7681
1998-03-31,0.1022,9.7851
1998-12-31,0.107596,9.294
1998-03-31,0.096382,10.3753
1997-12-30,0.10464,9.5568
1997-03-31,0.119856,8.3433
1997-12-31,0.1010254,9.8985
1997-03-31,0.108201,9.242
1996-12-31,0.12515,7.9905
1996-03-31,0.128917,7.7569
1996-12-31,0.1124024,8.8966
1996-03-31,0.1301066,7.686
1995-12-30,0.127036,7.8718
1995-03-31,0.119776,8.3489
1995-12-30,0.1317037,7.5928
1995-03-31,0.1279148,7.8177
1994-12-30,0.117823,8.4873
1994-03-30,0.115776,8.6374
1994-12-30,0.119769,8.3494
1994-03-30,0.117801,8.4889
1993-12-31,0.11774,8.4933
1993-03-31,0.1120071,8.928
1993-12-31,0.114473,8.7357
1993-03-31,0.1213224,8.2425
1992-12-31,0.1071868,9.3295
1992-03-31,0.1016415,9.8385
1992-12-31,0.1195457,8.365
1992-03-31,0.1033057,9.6800
1991-12-31,0.1011838,9.8830
1991-03-31,0.101645,9.8382
1991-12-31,0.1031193,9.6975
1991-03-28,0.099453,10.055
1990-12-31,0.103240,9.6862
1990-03-31,0.101175,9.8839
1990-12-31,0.101833,9.8200
1990-03-30,0.106923,9.3525
1989-12-31,0.095712,10.448
1989-12-29,0.107181,9.3300
