Type,From date,To date,Sterling value of currency unit - £,Currency units per £1,Currency
Average,2013-03-31,2014-03-31,0.0013,777.458673,Cfa Franc
Average,2012-12-31,2013-12-31,0.0013,773.000641,Cfa Franc
Average,2009-03-31,2010-03-31,0.0013515,739.927,Cfa Franc
Average,2008-12-31,2009-12-31,0.0013569,736.978,Cfa Franc
Average,2008-03-31,2009-03-31,0.0012676,788.89,Cfa Franc
Average,2007-12-31,2008-12-31,0.0012174,821.42,Cfa Franc
Average,2007-03-31,2008-03-31,0.0010805,925.47,Cfa Franc
Average,2006-12-31,2007-12-31,0.0010459,956.12,Cfa Franc
Average,2006-03-31,2007-03-31,0.00103376,967.3428,Cfa Franc
Average,2005-12-31,2006-12-31,0.001040758,960.8382,Cfa Franc
Average,2005-03-31,2006-03-31,0.00104,961.102,Cfa Franc
Average,2004-12-31,2005-12-31,0.00104178,959.9,Cfa Franc
Average,2004-03-31,2005-03-31,0.001041,960.6808,Cfa Franc
Average,2003-12-31,2004-12-31,0.00103423,966.9058,Cfa Franc
Average,2003-03-31,2004-03-31,0.001055,947.8783,Cfa Franc
Average,2002-12-31,2003-12-31,0.00105529,947.6108,Cfa Franc
Average,2002-03-31,2003-03-31,0.000982,1017.883,Cfa Franc
Average,2001-12-31,2002-12-31,0.00095962,1042.0842,Cfa Franc
Average,2001-03-28,2002-03-28,0.0009383248,1065.729,Cfa Franc
Average,2000-12-31,2001-12-31,0.0009445651,1058.6883,Cfa Franc
Average,2000-03-31,2001-03-31,0.0009347183,1069.841,Cfa Franc
Average,1999-12-29,2000-12-29,0.0009259967,1079.9175,Cfa Franc
Average,1999-03-31,2000-03-31,0.0009690317,1031.958,Cfa Franc
Average,1998-12-30,1999-12-30,0.0009972285,1002.7792,Cfa Franc
Average,1998-03-31,1999-03-31,0.0010335,967.5958,Cfa Franc
Average,1997-12-31,1998-12-31,0.0010213,979.1458,Cfa Franc
Average,1997-03-31,1998-03-31,0.001027,973.84,Cfa Franc
Average,1996-12-30,1997-12-30,0.0010495,952.8192,Cfa Franc
Average,1996-03-31,1997-03-31,0.001205,829.7642,Cfa Franc
Average,1995-12-31,1996-12-31,0.001259,794.5833,Cfa Franc
Average,1995-03-31,1996-03-31,0.001288,776.5292,Cfa Franc
Average,1994-12-30,1995-12-30,0.001265,790.6708,Cfa Franc
Average,1994-03-31,1995-03-31,0.00119,840.0375,Cfa Franc
Average,1994-01-15,1994-12-30,0.0011726,852.766,Cfa Franc
Average,1994-01-01,1994-01-14,0.002275,439.55,Cfa Franc
Average,1994-01-15,1994-03-30,0.0011427,875.05,Cfa Franc
Average,1993-04-01,1994-01-14,0.002309,430.867,Cfa Franc
Average,1992-12-31,1993-12-31,0.002351,425.3329,Cfa Franc
Average,1992-03-31,1993-03-31,0.0022298,448.47,Cfa Franc
Average,1991-12-31,1992-12-31,0.0021386,467.58,Cfa Franc
Average,1991-03-31,1992-03-31,0.0020159,496.05,Cfa Franc
Average,1990-12-31,1991-12-31,0.0020089,497.78,Cfa Franc
Average,1990-03-31,1991-03-31,0.002051,487.62,Cfa Franc
Average,1989-12-31,1990-12-31,0.002073,482.46,Cfa Franc
