Type,From date,To date,Sterling value of currency unit - £,Currency units per £1,Currency
Average,2013-03-31,2014-03-31,0.0178,56.026905,Dalasi
Average,2012-12-31,2013-12-31,0.0187,53.476052,Dalasi
Average,2012-03-31,2013-03-31,0.0198,50.614803,Dalasi
Average,2011-12-31,2012-12-31,0.0203,49.346304,Dalasi
Average,2011-03-31,2012-03-31,0.0219,45.660571,Dalasi
Average,2010-12-31,2011-12-31,0.022,45.487305,Dalasi
Average,2010-03-31,2011-03-31,0.0229,43.6734,Dalasi
Average,2009-12-31,2010-12-31,0.0233,42.8580,Dalasi
Average,2009-03-31,2010-03-31,0.023533,42.4940,Dalasi
Average,2008-12-31,2009-12-31,0.024033,41.6103,Dalasi
Average,2008-03-31,2009-03-31,0.025130,39.7935,Dalasi
Average,2007-12-31,2008-12-31,0.024419,40.9522,Dalasi
Average,2007-03-31,2008-03-31,0.02148,46.5553,Dalasi
Average,2006-12-31,2007-12-31,0.020172,49.573,Dalasi
Average,2006-03-31,2007-03-31,0.018850923,53.0478,Dalasi
Average,2005-12-31,2006-12-31,0.019283688,51.8573,Dalasi
Average,2005-03-31,2006-03-31,0.01986,50.3634,Dalasi
Average,2004-12-31,2005-12-31,0.01930785,51.7924,Dalasi
Average,2004-03-31,2005-03-31,0.018434,54.2474,Dalasi
Average,2003-12-31,2004-12-31,0.01853919,53.9398,Dalasi
Average,2003-03-31,2004-03-31,0.020649,48.429,Dalasi
Average,2002-12-31,2003-12-31,0.02237217,44.6984,Dalasi
Average,2002-03-31,2003-03-31,0.029843,33.5087,Dalasi
Average,2001-12-31,2002-12-31,0.03313277,30.1816,Dalasi
Average,2001-03-28,2002-03-28,0.0411885364,24.2786,Dalasi
Average,2000-12-31,2001-12-31,0.0425597113,23.4964,Dalasi
Average,2000-03-31,2001-03-31,0.0485043678,20.6167,Dalasi
Average,1999-12-29,2000-12-29,0.0503829101,19.848,Dalasi
Average,1999-03-31,2000-03-31,0.0527398344,18.961,Dalasi
Average,1998-12-30,1999-12-30,0.0536806111,18.6287,Dalasi
Average,1998-03-31,1999-03-31,0.057597,17.3619,Dalasi
Average,1997-12-31,1998-12-31,0.058678,17.0422,Dalasi
Average,1997-03-31,1998-03-31,0.06095,16.4068,Dalasi
Average,1996-12-30,1997-12-30,0.0612816,16.3181,Dalasi
Average,1996-03-31,1997-03-31,0.064164,15.585,Dalasi
Average,1995-12-31,1996-12-31,0.065354,15.3013,Dalasi
Average,1995-03-31,1996-03-31,0.06586,15.1838,Dalasi
Average,1994-12-30,1995-12-30,0.065442,15.2808,Dalasi
Average,1994-03-31,1995-03-31,0.066144,15.1185,Dalasi
Average,1993-12-30,1994-12-30,0.06965,14.3576,Dalasi
Average,1993-03-30,1994-03-30,0.076523,13.068,Dalasi
Average,1992-12-31,1993-12-31,0.075982,13.161,Dalasi
Average,1992-03-31,1993-03-31,0.0675265,14.809,Dalasi
Average,1991-12-31,1992-12-31,0.0637511,15.686,Dalasi
Average,1991-03-31,1992-03-31,0.0651041,15.360,Dalasi
Average,1990-12-31,1991-12-31,0.0674991,14.815,Dalasi
Average,1990-03-31,1991-03-31,0.069113,14.469,Dalasi
Average,1989-12-31,1990-12-31,0.069994,14.287,Dalasi
