Type,From date,To date,Sterling value of currency unit - £,Currency units per £1
Average,2013-03-31,2014-03-31,0.8436,1.185417
Average,2012-12-31,2013-12-31,0.8486,1.178398
Average,2012-03-31,2013-03-31,0.8141,1.228351
Average,2011-12-31,2012-12-31,0.8107,1.233473
Average,2001-04-01,2002-02-27,0.3156864602,3.1677
Average,2002-01-01,2002-03-28,0.6148548942,1.6264 (Euro)
Spot,,2002-03-28,0.6126324818,1.6323 (Euro)
Spot,,2002-02-27,0.3118567954,3.2066
Average,2000-12-31,2001-12-31,0.3178538508,3.1461
Average,2000-03-31,2001-03-31,0.3136172615,3.1886
Spot,,2001-12-31,0.3128030279,3.1969
Spot,,2001-03-30,0.3179245883,3.1454
Average,1999-12-29,2000-12-29,0.3113906707,3.2114
Average,1999-03-31,2000-03-31,0.3273536729,3.0548
Spot,,2000-12-29,0.3213367609,3.112
Spot,,2000-03-31,0.3066826142,3.2607
Average,1998-12-30,1999-12-30,0.3366776648,2.9702
Average,1998-03-31,1999-03-31,0.34746,2.878
Spot,,1999-12-31,0.3179852455,3.1448
Spot,,1999-03-31,0.3419388,2.9245
Average,1997-12-31,1998-12-31,0.34309,2.9147
Average,1997-03-31,1998-03-31,0.3434066,2.912
Spot,,1998-12-31,0.360868,2.7711
Spot,,1998-03-31,0.322903,3.0969
Average,1996-12-30,1997-12-30,0.3522243,2.8391
Average,1996-03-31,1997-03-31,0.405811,2.4642
Spot,,1997-12-31,0.3380091,2.9585
Spot,,1997-03-31,0.36503,2.739
Average,1995-12-31,1996-12-31,0.4254233,2.3506
Average,1995-03-31,1996-03-31,0.446927,2.2375
Spot,,1996-12-31,0.3791756,2.63735
Spot,,1996-03-31,0.4437147,2.2537
Average,1994-12-30,1995-12-30,0.442419,2.2603
Average,1994-03-31,1995-03-31,0.412269,2.4256
Spot,,1995-12-30,0.4500045,2.2222
Spot,,1995-03-31,0.4486316,2.229
Average,1993-12-30,1994-12-30,0.402804,2.4826
Average,1993-03-30,1994-03-30,0.396778,2.5203
Spot,,1994-12-30,0.402804,2.425
Spot,,1994-03-30,0.402755,2.4829
Average,1992-12-31,1993-12-31,0.402771,2.4828
Average,1992-03-31,1993-03-31,0.3769886,2.6526
Spot,,1993-12-31,0.389226,2.5692
Spot,,1993-03-31,0.4119464,2.4275
Average,1991-12-31,1992-12-31,0.3632664,2.7528
Average,1991-03-31,1992-03-31,0.3434891,2.9113
Spot,,1992-12-31,0.4077471,2.4525
Spot,,1992-03-31,0.3502626,2.8550
Average,1990-12-31,1991-12-31,0.3419154,2.9247
Average,1990-03-31,1991-03-31,0.343761,2.9090
Spot,,1991-12-31,0.3524329,2.8375
Spot,,1991-03-28,0.337268,2.9650
Average,1989-12-31,1990-12-31,0.347838,2.8749
Average,1989-03-31,1990-03-31,0.343124,2.9144
Spot,,1990-12-31,0.346620,2.8850
Spot,,1990-03-30,0.359712,2.7800
Average,1988-12-31,1989-12-31,0.324823,3.0786
Spot,,1989-12-29,0.366636,2.7275
