Average for year to,Sterling value of currency unit - £,Currency units per £1
2014-03-31,0.2876,3.476582
2013-12-31,0.3117,3.208164
2013-03-31,0.3328,3.004503
2012-12-31,0.3407,2.9353
2012-03-31,0.4011,2.493189
2011-12-31,0.4046,2.471605
2011-03-31,0.4432,2.2560
2010-12-31,0.4523,2.2107
2010-03-31,0.4335,2.3068
2009-12-31,0.44591,2.2426
2009-03-31,0.50063,1.9975
2008-12-31,0.50274,1.9891
2008-03-31,"0.519286 (01.07.07 to 31.03.08)
          0.00005425 (01.04.07 to 30.06.07)","1.9257 (01.07.07 to 31.03.08)
          18434.15 (01.04.07 to 30.06.07)"
2007-12-31,"0.518950 (01.07.07 to 31.12.07)
          0.00005475 (01.01.07 to 30.06.07)","1.927 (01.07.07 to 31.12.07)
          18264.02 (01.01.07 to 30.06.07)"
2007-03-31,0.0000573162,17447.0667
2006-12-31,0.0000591139,16916.4967
2006-03-31,0.00006,16225.61
2005-12-31,0.00006,16513.74
2005-03-31,0.0000599535,16679.57
2004-12-31,0.00006064,16488.517
2004-03-31,0.0000133,14825.84
2003-12-31,0.000071,14076
2003-03-31,7.893,12669.67
2002-12-31,8.329,12006.85
2002-03-28,0.0000946411,10566.23
2001-12-31,0.0000950367,10522.25
2001-03-31,0.0001052793,9498.54
2000-12-29,0.0001195835,8362.358
2000-03-31,0.0002071807,4826.704
1999-12-30,0.0002491587,4013.507
1999-03-31,0.00025845,3869.185
1998-12-31,0.00025996,3846.755
1998-03-31,0.000279,3578.286
1997-12-30,0.000297,3362.86
1997-03-31,0.000371,2694.739
1996-12-31,0.000393,2542.721
1996-03-31,0.000489,2043.204
1995-12-30,0.000531,1883.953
1995-03-31,0.000648,1543.721
1994-12-30,0.000689,1451.866
1994-03-30,0.000932,1072.854
1993-12-31,0.001049,953.6788
1993-03-31,0.0012609,793.04
1992-12-31,0.0013152,760.33
1992-03-31,0.0015328,652.40
1991-12-31,0.0015483,645.86
1991-03-31,0.001564,639.38
1990-12-31,0.001711,584.38
1990-03-31,0.002077,481.52
1989-12-31,0.002253,443.88
