Type,From date,To date,Sterling value of currency unit - £,Currency units per £1,Currency
Average,2013-03-31,2014-03-31,0.8436,1.185417,Euro
Average,2012-12-31,2013-12-31,0.8486,1.178398,Euro
Average,2012-03-31,2013-03-31,0.8141,1.228351,Euro
Average,2011-12-31,2012-12-31,0.8107,1.233473,Euro
Average,2001-04-01,2002-02-27,0.0018119228,551.8999,Euro
Average,2002-01-01,2002-03-28,0.6148548942,1.6264 (Euro),Euro
Average,2000-12-31,2001-12-31,0.0018245422,548.0827,Greek Drachma
Average,2000-03-31,2001-03-31,0.0018111066,552.1486,Greek Drachma
Average,1999-12-29,2000-12-29,0.0018078884,553.1315,Greek Drachma
Average,1999-03-31,2000-03-31,0.0019482593,513.2787,Greek Drachma
Average,1998-12-30,1999-12-30,0.0020189230,495.3136,Greek Drachma
Average,1998-03-31,1999-03-31,0.0020549,486.6462,Greek Drachma
Average,1997-12-31,1998-12-31,0.0020413,489.8869,Greek Drachma
Average,1997-03-31,1998-03-31,0.002165,461.9111,Greek Drachma
Average,1996-12-30,1997-12-30,0.002237,447.1124,Greek Drachma
Average,1996-03-31,1997-03-31,0.002565,389.8525,Greek Drachma
Average,1995-12-31,1996-12-31,0.002658,376.2084,Greek Drachma
Average,1995-03-31,1996-03-31,0.002738,365.2501,Greek Drachma
Average,1994-12-30,1995-12-30,0.002737,365.3993,Greek Drachma
Average,1994-03-31,1995-03-31,0.00269,371.7045,Greek Drachma
Average,1993-12-30,1994-12-30,0.00269,371.7556,Greek Drachma
Average,1993-03-30,1994-03-30,0.002812,355.6658,Greek Drachma
Average,1992-12-31,1993-12-31,0.002904,344.3289,Greek Drachma
Average,1992-03-31,1993-03-31,0.0029982,333.53,Greek Drachma
Average,1991-12-31,1992-12-31,0.0029867,334.81,Greek Drachma
Average,1991-03-31,1992-03-31,0.0030719,325.53,Greek Drachma
Average,1990-12-31,1991-12-31,0.0031168,320.84,Greek Drachma
Average,1990-03-31,1991-03-31,0.003334,299.91,Greek Drachma
Average,1989-12-31,1990-12-31,0.003545,282.08,Greek Drachma
Average,1989-03-31,1990-03-31,0.003786,264.15,Greek Drachma
Average,1988-12-31,1989-12-31,0.003764,265.64,Greek Drachma
