Type,From date,To date,Sterling value of currency unit - £,Currency units per £1,Currency
Average,2013-03-31,2014-03-31,0.0031,320.772346,Guyanese Dollar
Average,2012-12-31,2013-12-31,0.0032,315.198792,Guyanese Dollar
Average,2012-03-31,2013-03-31,0.0031,317.966134,Guyanese Dollar
Average,2011-12-31,2012-12-31,0.0031,318.159979,Guyanese Dollar
Average,2011-12-31,2012-12-31,0.0031,325.518105,Guyanese Dollar
Average,2010-12-31,2011-12-31,0.0031,325.050529,Guyanese Dollar
Average,2010-03-31,2011-03-31,0.0032,315.165,Guyanese Dollar
Average,2009-12-31,2010-12-31,0.0032,313.612,Guyanese Dollar
Average,2009-03-31,2010-03-31,0.0030965,322.95,Guyanese Dollar
Average,2008-12-31,2009-12-31,0.0031621,316.241,Guyanese Dollar
Average,2008-03-31,2009-03-31,0.0028649,349.056,Guyanese Dollar
Average,2007-12-31,2008-12-31,0.0026473,377.743,Guyanese Dollar
Average,2007-03-31,2008-03-31,0.002445,409.02,Guyanese Dollar
Average,2006-12-31,2007-12-31,0.0024624,406.10,Guyanese Dollar
Average,2006-03-31,2007-03-31,0.00273852,365.1609,Guyanese Dollar
Average,2005-12-31,2006-12-31,0.00285383,350.4058,Guyanese Dollar
Average,2005-03-31,2006-03-31,0.002989,334.5235,Guyanese Dollar
Average,2004-12-31,2005-12-31,0.0029778,335.8187,Guyanese Dollar
Average,2004-03-31,2005-03-31,0.0030226,330.8431,Guyanese Dollar
Average,2003-12-31,2004-12-31,0.0030449,328.4189,Guyanese Dollar
Average,2003-03-31,2004-03-31,0.0032949,303.5003,Guyanese Dollar
Average,2002-12-31,2003-12-31,0.0034138,292.9325,Guyanese Dollar
Average,2002-03-31,2003-03-31,0.0035964,278.0578,Guyanese Dollar
Average,2001-12-31,2002-12-31,0.0036928,270.7951,Guyanese Dollar
Average,2001-03-28,2002-03-28,0.0038660760,258.6602,Guyanese Dollar
Average,2000-12-31,2001-12-31,0.0038454336,260.0487,Guyanese Dollar
Average,2000-03-31,2001-03-31,0.0036489372,274.0524,Guyanese Dollar
Average,1999-12-29,2000-12-29,0.0035661049,280.418,Guyanese Dollar
Average,1999-03-31,2000-03-31,0.0035872960,278.7615,Guyanese Dollar
Average,1998-12-30,1999-12-30,0.0036888744,271.0854,Guyanese Dollar
Average,1998-03-31,1999-03-31,0.0040114,249.2911,Guyanese Dollar
Average,1997-12-31,1998-12-31,0.0040978,244.0337,Guyanese Dollar
Average,1997-03-31,1998-03-31,0.004266,234.4382,Guyanese Dollar
Average,1996-12-30,1997-12-30,0.004303,232.4098,Guyanese Dollar
Average,1996-03-31,1997-03-31,0.004518,221.3241,Guyanese Dollar
Average,1995-12-31,1996-12-31,0.0046,217.3761,Guyanese Dollar
Average,1995-03-31,1996-03-31,0.004497,222.368,Guyanese Dollar
Average,1994-12-30,1995-12-30,0.004434,225.5318,Guyanese Dollar
Average,1994-03-31,1995-03-31,0.004619,216.4836,Guyanese Dollar
Average,1993-12-30,1994-12-30,0.004818,207.5536,Guyanese Dollar
Average,1993-03-30,1994-03-30,0.005264,189.9873,Guyanese Dollar
Average,1992-12-31,1993-12-31,0.005286,189.1638,Guyanese Dollar
Average,1992-03-31,1993-03-31,0.0047388,211.02,Guyanese Dollar
Average,1991-12-31,1992-12-31,0.0045831,218.19,Guyanese Dollar
Average,1991-03-31,1992-03-31,0.0047337,211.25,Guyanese Dollar
Average,1991-03-11,1991-12-31,0.0048053,208.10,Guyanese Dollar
Average,1991-01-01,1991-03-11,0.0116007,86.201,Guyanese Dollar
Average,1991-03-12,1991-03-31,0.004847,206.30,Guyanese Dollar
Average,1990-04-01,1991-03-11,0.012467,80.209,Guyanese Dollar
Average,1989-12-31,1990-12-31,0.014636,68.324,Guyanese Dollar
Average,1989-03-31,1990-03-31,0.020512,48.752,Guyanese Dollar
Average,1988-12-31,1989-12-31,0.025112,39.822,Guyanese Dollar
