 ,Sterling value of currency unit - £,Currency units per £1
2014-03-31,0.0314,31.841978
2013-12-31,0.0318,31.413249
2013-03-31,0.0324,30.858517
2012-12-31,0.0327,30.551165
2012-03-31,0.033,30.346134
2011-12-31,0.033,30.287207
2011-03-31,0.0341,29.3338
2010-12-31,0.0343,29.1825
2010-03-31,0.033213,30.1084
2009-12-31,0.033773,29.6097
2009-03-31,0.030933,32.3282
2008-12-31,0.028614,34.9474
2008-03-31,0.026305,38.016
2007-12-31,0.02639,37.8929
2007-03-31,0.027841271,35.9179
2006-12-31,0.028634752,34.9226
2006-12-31,0.02975,33.6188
2005-12-31,0.02924225,34.1971
2005-03-31,0.029354,34.0669
2004-12-31,0.02994469,33.3949
2004-03-31,0.033408,29.9331
2003-12-31,0.03501266,28.5611
2003-03-31,0.03865,25.8732
2002-12-31,0.04032372,24.7993
2002-03-28,0.0444513591,22.4965
2001-12-31,0.0448671931,22.288
2001-03-31,0.0452869836,22.0814
2000-12-29,0.0445315283,22.456
2000-03-31,0.0429121931,23.3034
1999-12-30,0.0433086041,23.0901
1999-03-31,0.044409,22.518
1998-12-31,0.0448121,22.3154
1998-03-31,0.046464,21.5222
1997-12-30,0.0468935,21.3249
1997-03-31,0.052422,19.0761
1996-12-31,0.056303,17.7612
1996-03-31,0.066439,15.0515
1995-12-30,0.067572,14.7991
1995-03-31,0.073976,13.5179
1994-12-30,0.079437,12.5886
1994-03-30,0.098461,10.1563
1993-12-31,0.10413,9.6034
1993-03-31,0.0132673,9.6836
1992-12-31,0.100329,9.9672
1992-03-31,0.1059995,9.4340
1991-12-31,0.1043525,9.5829
1991-03-31,0.108246,9.2382
1990-12-31,0.133915,7.4674
