Type,From date,To date,Sterling value of currency unit - £,Currency units per £1
Spot,,2014-03-31,0.0773,12.9322
Average,2013-03-31,2014-03-31,0.0813,12.297534
Spot,,2013-12-31,0.0779,12.8422
Average,2012-12-31,2013-12-31,0.0825,12.125373
Spot,,2013-03-31,0.0846,11.826
Average,2012-03-31,2013-03-31,0.0815,12.263534
Spot,,2012-12-31,0.0794,12.5991
Average,2011-12-31,2012-12-31,0.0814,12.279098
Spot,,2012-03-31,0.0806,12.405
Average,2011-03-31,2012-03-31,0.0806,12.412126
Spot,,2011-12-31,0.0828,12.0701
Average,2010-12-31,2011-12-31,0.0801,12.484348
Spot,,2011-03-31,0.0802,12.4681
Average,2010-03-31,2011-03-31,0.0827,12.0852
Spot,,2010-12-31,0.0822,12.1708
Average,2009-12-31,2010-12-31,0.0832,12.0140
Spot,,2010-03-31,0.084902,11.7783
Average,2009-03-31,2010-03-31,0.080769,12.3810
Spot,,2009-12-31,0.079861,12.5217
Average,2008-12-31,2009-12-31,0.082429,12.1317
Spot,,2009-03-31,0.090021,11.1085
Average,2008-03-31,2009-03-31,0.074884,13.354
Spot,,2008-12-31,0.089743,11.1429
Average,2007-12-31,2008-12-31,0.069304,14.4291
Spot,,2008-03-31,0.064648,15.4685
Average,2007-03-31,2008-03-31,0.063861,15.659
Spot,,2007-12-31,0.064427,15.5215
Average,2006-12-31,2007-12-31,0.064056,15.6114
Spot,,2007-03-30,0.06524647,15.3265
Average,2006-03-31,2007-03-31,0.0679163,14.724
Spot,,2006-12-29,0.06569741,15.2213
Average,2005-12-31,2006-12-31,0.06986558,14.3132
Spot,,2006-03-31,0.074295,13.4598
Average,2005-03-31,2006-03-31,0.0715911,13.9682
Spot,,2005-12-30,0.075126,13.3109
Average,2004-12-31,2005-12-31,0.07065839,14.1526
Spot,,2005-03-31,0.067853,14.7377
Average,2004-03-31,2005-03-31,0.069559,14.3762
Spot,,2004-12-31,0.0670111,14.9229
Average,2003-12-31,2004-12-31,0.70087,14.268
Spot,,2004-03-31,0.069838,14.3188
Average,2003-03-31,2004-03-31,0.075869,13.1806
Spot,,2003-12-31,0.071953,13.898
Average,2002-12-31,2003-12-31,0.078554,12.7301
Spot,,2003-03-31,0.0811148,12.3282
Average,2002-03-31,2003-03-31,0.080020,12.4969
Spot,,2002-12-31,0.079652,12.5546
Average,2001-12-31,2002-12-31,0.085340,11.7178
Spot,,2002-03-28,0.0900341229,11.1069
Average,2001-03-28,2002-03-28,0.0895399438,11.1682
Spot,,2001-12-31,0.0881134902,11.349
Average,2000-12-31,2001-12-31,0.0890329244,11.2318
Spot,,2001-03-30,0.0901892170,11.0878
Average,2000-03-31,2001-03-31,0.0867062047,11.5332
Spot,,2000-12-29,0.0858258593,11.6515
Average,1999-12-29,2000-12-29,0.0846417538,11.8145
Spot,,2000-03-31,0.0805036307,12.4218
Average,1999-03-31,2000-03-31,0.0798996460,12.5157
Spot,,1999-12-31,0.0798173778,12.5286
Average,1998-12-30,1999-12-30,0.0796508108,12.5548
Spot,,1999-03-31,0.0799354,12.5101
Average,1998-03-31,1999-03-31,0.078029,12.8158
Spot,,1998-12-31,0.077583,12.8895
Average,1997-12-31,1998-12-31,0.0778995,12.8378
Spot,,1998-03-31,0.077071,12.9749
Average,1997-03-31,1998-03-31,0.07866,12.7128
Spot,,1997-12-31,0.0784375,12.749
Average,1996-12-30,1997-12-30,0.07885,12.6824
Spot,,1997-03-31,0.078592,12.7239
Average,1996-03-31,1997-03-31,0.08146,12.2759
Spot,,1996-12-31,0.0755463,13.2369
Average,1995-12-31,1996-12-31,0.08278,12.0795
Spot,,1996-03-31,0.0847134,11.8045
Average,1995-03-31,1996-03-31,0.082584,12.1089
Spot,,1995-12-30,0.0833014,12.0046
Average,1994-12-30,1995-12-30,0.081906,12.2091
Spot,,1995-03-31,0.0794016,12.5942
Average,1994-03-31,1995-03-31,0.083435,11.8012
Spot,,1994-12-30,0.0826132,12.1046
Average,1993-12-30,1994-12-30,0.084737,11.9854
Spot,,1994-03-30,0.087514,11.4286
Average,1993-03-30,1994-03-30,0.086096,11.615
Spot,,1993-12-31,0.087468,11.4328
Average,1992-12-31,1993-12-31,0.086239,11.5957
Spot,,1993-03-31,0.0859401,11.636
Average,1992-03-31,1993-03-31,0.0764175,13.086
Spot,,1992-12-31,0.0852660,11.728
Average,1991-12-31,1992-12-31,0.0731957,13.662
Spot,,1992-03-31,0.0743162,13.456
Average,1991-03-31,1992-03-31,0.0742666,13.465
Spot,,1991-12-31,0.0687521,14.545
Average,1990-12-31,1991-12-31,0.0727272,13.750
Spot,,1991-03-28,0.073833,13.544
Average,1990-03-31,1991-03-31,0.068795,14.536
Spot,,1990-12-31,0.066467,15.045
Average,1989-12-31,1990-12-31,0.071999,13.889
Spot,,1990-03-30,0.077785,12.856
Average,1989-03-31,1990-03-31,0.078585,12.725
Spot,,1989-12-29,0.079466,12.584
Average,1988-12-31,1989-12-31,0.079064,12.648
