Average for year to,Sterling value of currency unit - £,Currency units per £1
2014-03-31,0.0028,355.054096
2013-12-31,0.0029,349.450622
2013-03-31,0.0028,354.579403
2012-12-31,0.0028,356.920591
2012-03-31,0.0031,321.176289
2011-12-31,0.0031,321.140764
2011-03-31,0.0031,324.947
2010-12-31,0.0031,320.900
2010-03-31,0.0032453,308.141
2009-12-31,0.0031627,316.187
2009-03-31,0.0032067,311.844
2008-12-31,0.0031949,312.999
2008-03-31,0.002802,356.86
2007-12-31,0.002731,366.12
2007-03-31,0.00257657,388.1129
2006-12-31,0.002584037,386.9914
2006-03-31,0.00272,367.705
2005-12-31,0.00275075,363.5366
2005-03-31,0.002758,362.5755
2004-12-31,0.00270657,369.4715
2004-03-31,0.002687,372.2082
2003-12-31,0.00272077,367.5425
2003-03-31,0.002656,376.5623
2002-12-31,0.00259681,385.0885
2002-03-28,0.0024599925,406.5053
2001-12-31,0.0024224114,412.8118
2001-03-31,0.0023326629,428.6946
2000-12-29,0.0023311458,428.9736
2000-03-31,0.0025019834,399.6829
1999-12-30,0.0025881987,386.3691
1999-03-31,0.0027513,363.4616
1998-12-31,0.0027973,357.4845
1998-03-31,0.003132,319.3189
1997-12-30,0.0032866,304.2664
1997-03-31,0.004036,247.7858
1996-12-31,0.004318,231.6071
1996-03-31,0.004914,203.5113
1995-12-30,0.005145,194.3554
1995-03-31,0.005981,167.197
1994-12-30,0.006222,160.7262
1994-03-30,0.00695,143.8784
1993-12-31,0.007297,137.0471
1993-03-31,0.0073389,136.26
1992-12-31,0.0071546,139.77
1992-03-31,0.0075386,132.65
1991-12-31,0.0075849,131.84
1991-03-31,0.008364,119.56
1990-12-31,0.008933,111.95
