Average for year to,Sterling value of currency unit - £,Currency units per £1
2014-03-31,0.0053,188.893884
2013-12-31,0.0052,191.535207
2013-03-31,0.0054,183.822076
2012-12-31,0.0055,181.907653
2012-03-31,0.0054,185.886342
2011-12-31,0.0054,185.767450
2011-03-31,0.0054,185.726
2010-12-31,0.0053,188.908
2010-03-31,0.0049771,200.920
2009-12-31,0.0051673,193.524
2009-03-31,0.0059654,167.632
2008-12-31,0.0062829,159.163
2008-03-31,0.00779,128.36
2007-12-31,0.007813,127.99
2007-03-31,0.00747844,133.7177
2006-12-31,0.00775286,128.9847
2006-03-31,0.00879,113.7708
2005-12-31,0.008749,114.2941
2005-03-31,0.0079923,125.1205
2004-12-31,0.007798,128.2386
2004-03-31,0.00794,125.943
2003-12-31,0.007991,125.1424
2003-03-31,0.007559,132.2964
2002-12-31,0.007296,137.0658
2002-03-28,0.0068859094,145.2241
2001-12-31,0.0071132710,140.5823
2001-03-31,0.0082382163,121.3855
2000-12-29,0.0083855262,119.2531
2000-03-31,0.0085052167,117.5749
1999-12-30,0.0085308291,117.2219
1999-03-31,0.0085431,117.0532
1998-12-31,0.0084763,117.9762
1998-03-31,0.008498,117.6784
1997-12-30,0.008601,116.2706
1997-03-31,0.009318,107.3178
1996-12-31,0.009598,104.1897
1996-03-31,0.009859,101.4346
1995-12-30,0.009772,102.3359
1995-03-31,0.009454,105.7761
1994-12-31,0.009383,106.5702
1994-03-30,0.00954,104.8192
1993-12-31,0.009821,101.818
1993-03-31,0.0100312,99.688
1992-12-31,0.0098522,101.50
1992-03-31,0.0096487,103.64
1991-12-31,0.0095812,104.37
1991-03-31,0.009457,105.74
1990-12-31,0.009626,103.89
1990-03-31,0.010248,97.584
1989-12-31,0.010731,93.188
