Average for year to,Sterling value of currency unit - £,Currency units per £1
2014-03-31,0.0001,17358.536538
2013-12-31,0.0001,16184.624528
2013-03-31,0.0001,15031.823076
2012-12-31,0.0001,14803.457142
2012-03-31,0.0001,13966.952631
2011-12-31,0.0001,14037.286274
2011-03-31,0.0001,13976.89
2010-12-31,0.0001,14035.67
2010-03-31,0.000064098,15601.1
2009-12-31,0.000061821,16175.8
2009-03-31,0.000057628,17352.65
2008-12-31,0.000056312,17758.16
2008-03-31,0.00005427,18425.14
2007-12-31,0.00005466,18294.55
2007-03-31,0.00005796,17253.2658
2006-12-31,0.0000592589,16875.1042
2006-03-31,0.0000577,17323.1629
2005-12-31,0.0000567,17636.33
2005-03-31,0.0000591,16916.541
2004-12-31,0.0000608,16422.433
2004-03-31,0.0000696,14361.3
2003-12-31,0.0000713,14025.2
2003-03-31,7.185,13916.933
2002-12-31,7.146,13992.992
2002-03-28,0.0000672187,14876.8079
2001-12-31,0.0000675663,14800.2838
2001-03-31,0.0000752332,13292
2000-12-29,0.0000788176,12687.52
2000-03-31,0.0000825664,12111.46
1999-12-30,0.0000785275,12734.4
1999-03-31,0.000060566,16511.01
1998-12-31,0.000059193,16894
1997-12-30,0.000211,4731.619
1998-03-31,0.000129,7726.72
1995-03-31,0.000295,3395.308
1996-12-31,0.000275,3634.018
1997-03-31,0.000269,3723.169
1994-12-30,0.000302,3308.362
1994-03-30,0.000315,3171.301
1993-12-31,0.000318,3144.599
1993-03-31,0.0002885,3465.1
1992-12-31,0.0002785,3590.6
1992-03-31,0.0002914,3431
1991-12-31,0.0002892,3457.8
1991-03-31,0.000283,3536
1990-12-31,0.000303,3302
1990-03-31,0.000341,2930
1989-12-31,0.000344,2905
