Average for year to,Sterling value of currency unit - £,Currency units per £1
2014-03-31,0.0005,1841.446346
2013-12-31,0.0006,1815.725283
2013-03-31,0.0005,1836.929423
2012-12-31,0.0005,1838.802040
2012-03-31,0.0005,1874.359210
2011-12-31,0.0005,1872.536274
2011-03-31,0.0006,1812.31
2010-12-31,0.0006,1798.32
2010-03-31,0.00054393,1838.48
2009-12-31,0.00055493,1802.03
2009-03-31,0.00049403,2024.15
2008-12-31,0.00045266,2209.16
2008-03-31,0.00040325,2479.81
2007-12-31,0.0003983,2510.79
2007-03-31,0.00037233,2685.7928
2006-12-31,0.00037042,2699.6693
2006-03-31,0.000382,2620.743
2005-12-31,0.000375,2667.384
2005-03-31,0.0003707,2697.8116
2004-12-31,"01/01/04 to 20/02/04 =1.74398325
          21/02/04 to 31/12/04 = 0.00042217","01/01/04 to 20/02/04 =0.5734
          21/02/04 to 31/12/04 = 2368.6802"
2004-03-31,"01/04/03 - 20/02/04 = 1.9105846
          21/02/04 - 31/03/04 = 0.0004571","01/04/03 - 20/02/04 = 0.5234
          21/02/04 - 31/03/04 = 2187.62"
2003-12-31,1.96773,0.5082
2003-03-31,2.07727,0.4814
2002-12-31,2.13721,0.4679
2002-03-28,2.2502250225,0.4444
2001-12-31,2.2356360385,0.4473
2001-03-31,2.1668472373,0.4615
2000-12-29,2.0279862097,0.4931
2000-03-31,1.3848497438,0.7221
1999-12-30,1.4216661928,0.7034
1999-03-31,1.944012,0.5144
1998-12-31,1.93911,0.5157
1998-03-31,1.956182,0.5112
1997-12-30,1.961938,0.5097
1997-03-31,2.027164,0.4933
1996-12-31,2.058884,0.4857
1996-03-31,1.292992,0.7734
1995-12-30,1.126126,0.888
1995-03-31,1.481921,0.6748
1994-12-30,1.7934,0.5576
1994-03-30,1.985703,0.5036
1993-12-31,1.866716,0.5357
1993-03-31,1.6846361,0.5936
1992-12-31,1.6846361,0.5936
1992-03-31,1.6778523,0.5960
1991-12-31,1.6943409,0.5902
1991-03-31,1.723247,0.5803
1990-12-31,1.801477,0.5551
1990-03-31,1.871258,0.5344
1989-12-31,1.909855,0.5236
