Type,From date,To date,Sterling value of currency unit - £,Currency units per £1,Currency
Average,2013-03-31,2014-03-31,0.8436,1.185417,Euro
Average,2012-12-31,2013-12-31,0.8486,1.178398,Euro
Average,2012-03-31,2013-03-31,0.8107,1.233473,Euro
Average,2011-12-31,2012-12-31,0.8141,1.228351,Euro
Average,2001-04-01,2002-02-27,0.0003188742,3136.0334,Euro
Average,2002-01-01,2002-03-28,0.6148548942,1.6264 (Euro),Euro
Spot,,2002-03-28,0.6126324818,1.6323 (Euro),Euro
Spot,,2002-02-27,0.0003150112,3174.49,Euro
Average,2000-12-31,2001-12-31,0.0003210654,3114.6298,Italian Lira
Average,2000-03-31,2001-03-31,0.0003167845,3156.72,Italian Lira
Spot,,2001-12-31,0.0003159638,3164.92,Italian Lira
Spot,,2001-03-30,0.0003211397,3113.91,Italian Lira
Average,1999-12-29,2000-12-29,0.0003145376,3179.27,Italian Lira
Average,1999-03-31,2000-03-31,0.0003319711,3012.31,Italian Lira
Spot,,2000-12-29,0.0003245921,3080.79,Italian Lira
Spot,,2000-03-31,0.0003097836,3228.06,Italian Lira
Average,1998-12-30,1999-12-30,0.0003414135,2929,Italian Lira
Average,1998-03-31,1999-03-31,0.00035165,2843.76,Italian Lira
Spot,,1999-12-31,0.0003211954,3113.37,Italian Lira
Spot,,1999-03-31,0.000345392,2895.26,Italian Lira
Average,1997-12-31,1998-12-31,0.00034764,2876.52,Italian Lira
Average,1997-03-31,1998-03-31,0.000349,2858.55,Italian Lira
Spot,,1998-12-31,0.000364507,2743.43,Italian Lira
Spot,,1998-03-31,0.000327,3052.58,Italian Lira
Average,1996-12-30,1997-12-30,0.00036,2788.26,Italian Lira
Average,1996-03-31,1997-03-31,0.000424,2473.67,Italian Lira
Spot,,1997-12-31,0.0003437,2909.06,Italian Lira
Spot,,1997-03-31,0.000365,2739.27,Italian Lira
Average,1995-12-31,1996-12-31,0.000415,2408.06,Italian Lira
Average,1995-03-31,1996-03-31,0.000396,2524.472,Italian Lira
Spot,,1996-12-31,0.0003843,2602.03,Italian Lira
Spot,,1996-03-31,0.0004173,2396.26,Italian Lira
Average,1994-12-30,1995-12-30,0.000389,2571.069,Italian Lira
Average,1994-03-31,1995-03-31,0.000402,2489.056,Italian Lira
Spot,,1995-12-30,0.000406,2463.04,Italian Lira
Spot,,1995-03-31,0.0003617,2764.24,Italian Lira
Average,1993-12-30,1994-12-30,0.000405,2467.423,Italian Lira
Average,1993-03-30,1994-03-30,0.000416,2405.747,Italian Lira
Spot,,1994-12-30,0.000394,2538.02,Italian Lira
Spot,,1994-03-30,0.000414,2417.28,Italian Lira
Average,1992-12-31,1993-12-31,0.000426,2348.957,Italian Lira
Average,1992-03-31,1993-03-31,0.0004557,2194.3,Italian Lira
Spot,,1993-12-31,0.000395,2532.9,Italian Lira
Spot,,1993-03-31,0.0004163,2402,Italian Lira
Average,1991-12-31,1992-12-31,0.0004623,2162.9,Italian Lira
Average,1991-03-31,1992-03-31,0.0004591,2178,Italian Lira
Spot,,1992-12-31,0.0004482,2230.8,Italian Lira
Spot,,1992-03-31,0.0004643,2153.7,Italian Lira
Average,1990-12-31,1991-12-31,0.0004573,2186.7,Italian Lira
Average,1990-03-31,1991-03-31,0.000461,2169,Italian Lira
Spot,,1991-12-31,0.0004653,2149,Italian Lira
Spot,,1991-03-28,0.000453,2207,Italian Lira
Average,1989-12-31,1990-12-31,0.000469,2132,Italian Lira
Average,1989-03-31,1990-03-31,0.000467,2142,Italian Lira
Spot,,1990-12-31,0.000459,2177,Italian Lira
Spot,,1990-03-30,0.000488,2048,Italian Lira
Average,1988-12-31,1989-12-31,0.000445,2246,Italian Lira
Spot,,1989-12-29,0.000489,2045,Italian Lira
