Average for year to,Sterling value of currency unit - £,Currency units per £1
2014-03-31,0.0058,171.691
2014-03-31,0.0063,158.325192
2013-12-31,0.0057,174.08
2013-01-31,0.0066,151.646301
2013-03-31,0.007,142.058
2013-03-31,0.0076,130.738615
2012-12-31,0.0071,140.549
2012-12-31,0.0079,126.15025
2012-03-31,0.0076,131.487
2012-03-31,0.0079,126.098730
2011-12-31,0.0084,119.572
2011-12-31,0.0078,128.003692
2011-03-31,0.0075,132.853
2011-03-31,0.0075,133.404
2010-12-31,0.0079,126.982
2010-12-31,0.0073,136.104
2010-03-31,0.0070552,141.739
2010-03-31,0.006748,148.193
2009-12-31,0.0066518,150.335
2009-12-31,0.0068322,146.366
2009-03-31,0.0070635,141.572
2009-03-31,0.005754,173.793
2008-12-31,0.0076727,130.332
2008-12-31,0.0052013,192.26
2008-03-31,0.0050549,197.826
2008-03-31,0.0043609,229.3116
2007-12-31,0.0044968,222.380
2007-12-31,0.004244,235.6273
2007-03-30,0.00431805,231.586
2007-03-31,0.004515637,221.4527
2006-12-29,0.00428809,233.204
2006-12-31,0.0046663447,214.3005
2006-03-31,0.004886,204.660
2006-03-31,0.0049693,201.2374
2005-12-30,0.004944,202.268
2005-12-31,0.0049974,200.1041
2005-03-31,0.004947,202.112
2005-03-31,0.00505,198.171
2004-12-31,0.0050831,196.732
2004-12-31,0.00505,198.065
2004-03-31,0.00523,191.201
2004-03-31,0.005237,190.9326
2003-12-31,0.005212,191.85
2003-12-31,0.005282,189.3354
2003-03-31,0.0053352,187.433
2003-03-31,0.005311,188.3036
2002-12-31,0.0052343,191.047
2002-12-31,0.005324,187.8315
2002-03-28,0.0052985747,188.73
2002-03-28,0.0055860648,179.0169
2001-12-31,0.0052426014,190.745
2001-12-31,0.0057179158,174.8889
2001-03-30,0.0056129007,178.161
2001-03-31,0.0061168814,163.482
2000-12-29,0.0058619396,170.592
2000-12-29,0.0061207751,163.378
2000-03-31,0.0061116476,163.622
2000-03-31,0.0055745710,179.386
1999-12-31,0.0060618552,164.966
1999-12-30,0.0054356984,183.969
1999-03-31,0.0052306,191.182
1999-03-31,0.0047282,211.499
1998-12-31,0.0053285,187.671
1998-12-31,0.00461503,216.6834
1998-03-31,0.004478,223.31
1998-03-31,0.004961,201.5651
1997-12-31,0.0046742,213.937
1997-12-30,0.00505,198.189
1997-03-31,0.004918,203.296
1997-03-31,0.00559,178.8762
1996-12-31,0.0050344,198.631
1996-12-31,0.0059,169.593
1996-03-31,0.0061338,163.03
1996-03-31,0.00663,150.75
1995-12-30,0.006244,160.153
1995-12-30,0.00674,148.283
1995-03-31,0.0071059,140.728
1995-03-31,0.006477,154.3941
1994-12-30,0.0064065,156.09
1994-12-30,0.006392,156.4429
1994-03-30,0.006533,153.062
1994-03-30,0.006162,162.2872
1993-12-31,0.006056,165.12
1993-12-31,0.00599,166.9335
1993-03-31,0.0057803,173
1993-03-31,0.004572,218.72
1992-12-31,0.005291,189
1992-12-31,0.0043308,230.90
1992-03-31,0.0043290,231
1992-03-31,0.0043327,230.80
1991-12-31,0.0042780,233.75
1991-12-31,0.0042071,237.69
1991-03-28,0.004073,245.50
1991-03-31,0.003871,258.31
1990-12-31,0.003820,261.75
1990-12-31,0.003884,257.45
1990-03-30,0.003857,259.25
1990-03-31,0.004244,235.64
1989-12-29,0.004315,231.75
1989-12-31,0.004432,225.64
