Average for year to,Sterling value of currency unit - £,Currency units per £1
2014-03-31,0.0073,136.329173
2013-12-31,0.0074,134.673415
2013-03-31,0.0074,134.697884
2012-12-31,0.0075,133.743897
2012-03-31,0.0068,146.097868
2011-12-31,0.007,142.140686
2011-03-31,0.008,124.986
2010-12-31,0.0082,122.237
2010-03-31,0.0082006,121.942
2009-12-31,0.0082749,120.848
2009-03-31,0.0081804,122.243
2008-12-31,0.0078784,126.93
2008-03-31,0.007463,134.00
2007-12-31,0.007425,134.68
2007-03-31,0.00739109,135.298
2006-12-31,0.0075423,132.9039
2006-03-31,0.007525,132.8881
2005-12-31,0.007284,137.2843
2005-03-31,0.0068525,145.9332
2004-12-31,0.0068827,145.2923
2004-03-31,0.007767,128.7432
2003-12-31,0.008044,124.3147
2003-03-31,0.00824,121.3613
2002-12-31,0.00844,118.4879
2002-03-28,0.0088791968,112.6228
2001-12-31,0.0088339067,113.2002
2001-03-31,0.0087205627,114.6715
2000-12-29,0.0086665101,115.3867
2000-03-31,0.0084952529,117.7128
1999-12-30,0.0087600576,114.1545
1999-03-31,0.0099155,100.8518
1998-12-31,0.0099827,100.1734
1998-03-31,0.010132,98.695
1997-12-30,0.010413,96.0346
1997-03-31,0.011194,89.3362
1996-12-31,0.01122,89.1287
1996-03-31,0.011642,85.8975
1995-12-30,0.012294,81.3403
1995-03-31,0.012837,77.8982
1994-12-30,0.01172,85.3255
1994-03-30,0.010168,98.352
1993-12-31,0.011233,89.0226
1993-03-31,0.0168418,59.376
1992-12-31,0.0176647,56.610
1992-03-31,0.0202429,49.400
1991-12-31,0.0206782,48.360
1991-03-31,0.022344,44.754
1990-12-31,0.024615,40.626
1990-03-31,0.028690,34.855
1989-12-31,0.030040,33.289
