Type,From date,To date,Sterling value of currency unit - £,Currency units per £1
Average,2013-03-31,2014-03-31,2.2227,0.449896
Average,2012-12-31,2013-12-31,2.2539,0.443681
Average,2012-03-31,2013-03-31,2.2498,0.444486
Average,2011-12-31,2012-12-31,2.2554,0.443371
Average,2011-03-31,2012-03-31,2.261,0.442289
Average,2010-12-31,2011-12-31,2.2557,0.443325
Average,2010-03-31,2011-03-31,2.2601,0.44245
Average,2009-12-31,2010-12-31,2.256,0.4432
Average,2009-03-31,2010-03-31,2.18245,0.4582
Average,2008-12-31,2009-12-31,2.21828,0.4508
Average,2008-03-31,2009-03-31,2.13675,0.468
Average,2007-12-31,2008-12-31,2.00884,0.4978
Average,2007-03-31,2008-03-31,1.779993,0.5618
Average,2006-12-31,2007-12-31,1.758396,0.5687
Average,2006-03-31,2007-03-31,1.82381908,0.5483
Average,2005-12-31,2006-12-31,1.869158879,0.535
Average,2005-03-31,2006-03-31,1.91828,0.5213
Average,2004-12-31,2005-12-31,1.882176,0.5313
Average,2004-03-31,2005-03-31,1.8399264,0.5435
Average,2003-12-31,2004-12-31,1.8491124,0.5408
Average,2003-03-31,2004-03-31,1.98768,0.5031
Average,2002-12-31,2003-12-31,2.05128,0.4875
Average,2002-03-31,2003-03-31,2.14041,0.4672
Average,2001-12-31,2002-12-31,2.18866,0.4569
Average,2001-03-28,2002-03-28,2.2742779168,0.4397
Average,2000-12-31,2001-12-31,2.2634676324,0.4418
Average,2000-03-31,2001-03-31,2.1204410517,0.4716
Average,1999-12-29,2000-12-29,2.0725388601,0.4825
Average,1999-03-31,2000-03-31,2.0345879959,0.4915
Average,1998-12-30,1999-12-30,2.0296326365,0.4927
Average,1998-03-31,1999-03-31,1.9857,0.5036
Average,1997-12-31,1998-12-31,1.97746,0.5057
Average,1997-03-31,1998-03-31,2,0.5
Average,1996-12-30,1997-12-30,2.010454,0.4974
Average,1996-03-31,1997-03-31,2.097315,0.4768
Average,1995-12-31,1996-12-31,2.136752,0.468
Average,1995-03-31,1996-03-31,2.135839,0.4682
Average,1994-12-30,1995-12-30,2.120441,0.4716
Average,1994-03-31,1995-03-31,2.159361,0.4631
Average,1993-12-30,1994-12-30,2.19106,0.4564
Average,1993-03-30,1994-03-30,2.216312,0.4512
Average,1992-12-31,1993-12-31,2.203614,0.4538
Average,1992-03-31,1993-03-31,1.9912385,0.5022
Average,1991-12-31,1992-12-31,1.9305019,0.518
Average,1991-03-31,1992-03-31,2.0279862,0.4931
Average,1990-12-31,1991-12-31,2.0733982,0.4823
Average,1990-04-01,1990-07-30,2.009243,0.4977
Average,1990-01-01,1990-07-30,2.032934,0.4919
Average,1989-03-31,1990-03-31,2.088119,0.4789
Average,1988-12-31,1989-12-31,2.080300,0.4807
