Average for year to,Sterling value of currency unit - £,Currency units per £1
2014-03-31,0.0001,12452.840384
2013-12-31,0.0001,12237.392452
2013-03-31,0.0001,12565.259615
2012-12-31,0.0001,12601.877551
2012-03-31,0.0001,12837.960526
2011-12-31,0.0001,12823.652941
2011-03-31,0.0001,12629.80
2010-12-31,0.0001,12730.19
2010-03-31,0.000074059,13502.7
2009-12-31,0.000075212,13295.8
2009-03-31,0.000067985,14709.12
2008-12-31,0.000061957,16140.15
2008-03-31,0.00005275,18955.83
2007-12-31,0.00005202,19225.02
2007-03-31,0.0000531779,18804.8133
2006-12-31,0.0000539658,18530.2392
2006-03-31,0.0000542,18440.6
2005-12-31,0.0000566,17674.3833
2005-03-31,0.000068974,14498.05
2004-12-31,0.000069456,14397.4083
2004-03-31,0.000076,13154.55
2003-12-31,0.0000794,12582.15
2003-03-31,8.48214,11789.48
2002-12-31,8.72111,11466.425
2002-03-28,0.0000913972,10941.25
2001-12-31,0.0000909946,10989.6667
2001-03-31,0.0000891506,11216.97
2000-12-29,0.0000866103,11545.9667
2000-03-31,0.0000914539,10934.47
1999-12-30,0.0001045893,9561.205
1999-03-31,0.00018336,5453.88
1998-12-31,0.00022336,4477.095
1998-03-31,0.000541,1849.443
1997-12-30,0.0006185,1616.78
1997-03-31,0.000687,1456.261
1996-12-31,0.000698,1431.731
1996-03-31,0.000759,1317.449
1995-12-30,0.000798,1252.418
1995-03-31,0.000894,1119.153
1994-12-30,0.000909,1099.748
1994-03-30,0.000923,1083.36
1993-12-31,0.000925,1080.855
1993-03-31,0.0008223,1216.1
1992-12-31,0.0007883,1268.5
1992-03-31,0.0008187,1221.4
1991-12-31,0.0008076,1238.2
1991-03-31,0.000769,1301
1990-12-31,0.000792,1262
