Average for year to,Sterling value of currency unit - £,Currency units per £1
2014-03-31,1.1007,0.908507
2013-12-31,1.2088,0.827262
2013-03-31,1.1673,0.856659
2012-12-31,1.1621,0.860487
2012-03-31,1.2354,0.809481
2011-12-31,1.2284,0.814049
2011-03-31,1.2021,0.8318
2010-12-31,1.2118,0.8252
2010-03-31,1.25392,0.7975
2009-12-31,1.26008,0.7936
2009-03-31,1.17925,0.848
2008-12-31,1.13611,0.8802
2008-03-31,1.014713,0.9855
2007-12-31,0.979832,1.0206
2020-03-31,1.0298,0.971062
2020-12-31,1.0199,0.980488
2020-03-31,1.0193,0.981065
2020-12-31,1.0185,0.981836
