Type,From date,To date,Sterling value of currency unit - £,Currency units per £1,Currency
Average,2013-03-31,2014-03-31,0.0004,2390.3125,Lebanese Pound
Average,2012-12-31,2013-12-31,0.0004,2357.406603,Lebanese Pound
Average,2012-03-31,2013-03-31,0.0004,2378.453461,Lebanese Pound
Average,2011-12-31,2012-12-31,0.0004,2380.240816,Lebanese Pound
Average,2011-03-31,2012-03-31,0.0004,2421.354210,Lebanese Pound
Average,2010-12-31,2011-12-31,0.0004,2413.901568,Lebanese Pound
Average,2010-03-31,2011-03-31,0.0004,2330.14,Lebanese Pound
Average,2009-12-31,2010-12-31,0.0004,2318.38,Lebanese Pound
Average,2009-03-31,2010-03-31,0.00041811,2391.71,Lebanese Pound
Average,2008-12-31,2009-12-31,0.00042579,2348.60,Lebanese Pound
Average,2008-03-31,2009-03-31,0.00038686,2584.94,Lebanese Pound
Average,2007-12-31,2008-12-31,0.00035806,2792.83,Lebanese Pound
Average,2007-03-31,2008-03-31,0.0003294,3035.80,Lebanese Pound
Average,2006-12-31,2007-12-31,0.00033045,3026.21,Lebanese Pound
Average,2006-03-31,2007-03-31,0.00034966,2859.8993,Lebanese Pound
Average,2005-12-31,2006-12-31,0.00035969,2780.1683,Lebanese Pound
Average,2005-03-31,2006-03-31,0.00037209,2687.5416,Lebanese Pound
Average,2004-12-31,2005-12-31,0.0003644,2744.3486,Lebanese Pound
Average,2004-03-31,2005-03-31,0.0003574,2798.3398,Lebanese Pound
Average,2003-12-31,2004-12-31,0.00036,2778.0553,Lebanese Pound
Average,2003-03-31,2004-03-31,0.00039,2566.365,Lebanese Pound
Average,2002-12-31,2003-12-31,0.000404,2474.628,Lebanese Pound
Average,2002-03-31,2003-03-31,0.000428,2339.06,Lebanese Pound
Average,2001-12-31,2002-12-31,0.00044,2274.688,Lebanese Pound
Average,2001-03-28,2002-03-28,0.0004609744,2169.318,Lebanese Pound
Average,2000-12-31,2001-12-31,0.0004586741,2180.197,Lebanese Pound
Average,2000-03-31,2001-03-31,0.0004469607,2237.333,Lebanese Pound
Average,1999-12-29,2000-12-29,0.0004367342,2289.722,Lebanese Pound
Average,1999-03-31,2000-03-31,0.0004125404,2424.005,Lebanese Pound
Average,1998-12-30,1999-12-30,0.0004103466,2436.964,Lebanese Pound
Average,1998-03-31,1999-03-31,0.00039975,2501.539,Lebanese Pound
Average,1997-12-31,1998-12-31,0.00039758,2515.233,Lebanese Pound
Average,1997-03-31,1998-03-31,0.000396,2523.745,Lebanese Pound
Average,1996-12-30,1997-12-30,0.000396,2524.757,Lebanese Pound
Average,1996-03-31,1997-03-31,0.000404,2476.73,Lebanese Pound
Average,1995-12-31,1996-12-31,0.000407,2454.038,Lebanese Pound
Average,1995-03-31,1996-03-31,0.000397,2519.858,Lebanese Pound
Average,1994-12-30,1995-12-30,0.00039,2561.07,Lebanese Pound
Average,1994-03-31,1995-03-31,0.000387,2586.835,Lebanese Pound
Average,1993-12-30,1994-12-30,0.000389,2572.027,Lebanese Pound
Average,1993-03-30,1994-03-30,0.000386,2591.936,Lebanese Pound
Average,1992-12-31,1993-12-31,0.000382,2619.795,Lebanese Pound
Average,1992-03-31,1993-03-31,0.0003078,3248.2,Lebanese Pound
Average,1991-12-31,1992-12-31,0.000321,3021,Lebanese Pound
Average,1991-03-31,1992-03-31,0.0006256,1598.5,Lebanese Pound
Average,1990-12-31,1991-12-31,0.0006056,1651,Lebanese Pound
Average,1990-03-31,1991-03-31,0.000602,1660,Lebanese Pound
Average,1989-12-31,1990-12-31,0.000797,1254,Lebanese Pound
Average,1989-03-31,1990-03-31,0.001175,851.00,Lebanese Pound
Average,1988-12-31,1989-12-31,0.001229,813.85,Lebanese Pound
