Average for year to,Sterling value of currency unit - £,Currency units per £1
2014-03-31,0.5034,1.986651
2013-12-31,0.508,1.968643
2013-03-31,0.5037,1.985165
2012-12-31,0.5056,1.977814
2012-03-31,0.5156,1.939334
2011-12-31,0.5137,1.946633
2011-03-31,0.5114,1.9555
2010-12-31,0.5128,1.9500
2010-03-31,0.5063,1.9751
2009-12-31,0.51182,1.9538
2009-03-31,0.47315,2.1135
2008-12-31,0.44439,2.2503
2008-03-31,0.401011,2.4937
2007-12-31,0.396983,2.519
2007-03-31,0.40871378,2.4467
2006-12-31,0.41555851,2.4064
2006-03-31,0.422976,2.3642
2005-12-31,0.420787,2.3765
2005-03-31,0.41827,2.3908
2004-12-31,0.4185677,2.3891
2004-03-31,0.4558,2.1938
2003-12-31,0.4806,2.0808
2003-03-31,0.5192,1.9259
2002-12-31,0.5285,1.8923
2002-03-28,0.9067827349,1.1028
2001-12-31,1.1756407242,0.8506
2001-03-31,1.3121637580,0.7621
2000-12-29,1.3274923669,0.7533
2000-03-31,1.3561160835,0.7374
1999-12-30,1.3655605626,0.7323
1999-03-31,1.49187,0.6703
1998-12-31,1.55111,0.6447
1998-03-31,1.521607,0.6572
1997-12-30,1.552795,0.644
1997-03-31,1.772735,0.5641
1996-12-31,1.800828,0.5553
1996-03-31,1.795332,0.557
1995-12-30,1.776514,0.5629
1994-11-11 to 1994-03-31,1.7713536,0.56454
1994-04-01 to 1994-11-10,2.0817828,0.48036
1994-11-11 to 1994-12-30,1.7869907,0.5596
1994-01-01 to 1994-11-10,2.0959527,0.47711
1994-03-30,2.2041,0.4537
1993-12-31,2.247696,0.4449
1993-03-31,2.1299254,0.4695
1992-12-31,2.0631318,0.4847
1992-03-31,2.0193861,0.4952
1991-12-31,1.9956096,0.5011
1991-03-31,1.944390,0.5143
1990-12-31,1.981375,0.5047
1990-03-31,2.067825,0.4836
1989-12-31,2.042901,0.4895
