Type,From date,To date,Sterling value of currency unit - £,Currency units per £1,Currency
Average,2013-03-31,2014-03-31,0.8436,1.185417,Euro
Average,2012-12-31,2013-12-31,0.8486,1.178398,Euro
Average,2012-03-31,2013-03-31,0.8141,1.228351,Euro
Average,2011-12-31,2012-12-31,0.8107,1.233473,Euro
Average,2001-04-01,2002-02-27,0.0153054977,65.336,Euro
Average,2002-01-01,2002-03-28,0.6148548942,1.6264 (Euro),Euro
Average,2000-12-31,2001-12-31,0.0154106950,64.89,Luxembourg Franc
Spot,,2002-03-28,0.6126324818,1.6323 (Euro),Euro
Spot,,2002-02-27,0.0151201752,66.1368,Euro
Spot,,2001-12-31,0.0151658768,65.9375,Luxembourg Franc
Average,2000-03-31,2001-03-31,0.0152052866,65.7666,Luxembourg Franc
Average,1999-12-29,2000-12-29,0.0150974389,66.2364,Luxembourg Franc
Spot,,2001-03-30,0.0154143295,64.8747,Luxembourg Franc
Spot,,2000-12-29,0.0155800370,64.1847,Luxembourg Franc
Average,1999-03-31,2000-03-31,0.0158726631,63.0014,Luxembourg Franc
Average,1998-12-30,1999-12-30,0.0163223201,61.2658,Luxembourg Franc
Spot,,2000-03-31,0.0148692694,67.2528,Luxembourg Franc
Spot,,1999-12-31,0.0154170148,64.8634,Luxembourg Franc
Average,1998-03-31,1999-03-31,0.016843,59.3713,Luxembourg Franc
Average,1997-12-31,1998-12-31,0.016630,60.1307,Luxembourg Franc
Spot,,1999-03-31,0.0165784,60.3193,Luxembourg Franc
Spot,,1998-12-31,0.017496,57.1561,Luxembourg Franc
Average,1997-03-31,1998-03-31,0.01664,60.0948,Luxembourg Franc
Average,1996-12-30,1997-12-30,0.017069,58.5873,Luxembourg Franc
Spot,,1998-03-31,0.015653,63.8841,Luxembourg Franc
Spot,,1997-12-31,0.0164036,60.9619,Luxembourg Franc
Average,1996-03-31,1997-03-31,0.019699,50.7632,Luxembourg Franc
Average,1995-12-31,1996-12-31,0.02067,48.3809,Luxembourg Franc
Spot,,1997-03-31,0.017659,56.6252,Luxembourg Franc
Spot,,1996-12-31,0.0183963,54.3586,Luxembourg Franc
Average,1995-03-31,1996-03-31,0.021734,46.0104,Luxembourg Franc
Spot,,1996-03-31,0.0215917,46.314,Luxembourg Franc
Average,1994-12-30,1995-12-30,0.0215,46.5106,Luxembourg Franc
Spot,,1995-12-30,0.0218858,45.6916,Luxembourg Franc
Average,1994-03-31,1995-03-31,0.020019,49.9519,Luxembourg Franc
Spot,,1995-03-31,0.0218448,45.7774,Luxembourg Franc
Average,1993-12-30,1994-12-30,0.019551,51.1475,Luxembourg Franc
Spot,,1994-12-30,0.020081,49.7981,Luxembourg Franc
Average,1993-03-30,1994-03-30,0.018973,52.7076,Luxembourg Franc
Spot,,1994-03-30,0.019544,51.1668,Luxembourg Franc
Average,1992-12-31,1993-12-31,0.019269,51.8979,Luxembourg Franc
Spot,,1993-12-31,0.018696,53.4877,Luxembourg Franc
Average,1992-03-31,1993-03-31,0.0183911,54.374,Luxembourg Franc
Spot,,1993-03-31,0.02,50,Luxembourg Franc
Average,1991-12-31,1992-12-31,0.0176425,56.681,Luxembourg Franc
Spot,,1992-12-31,0.0198807,50.3,Luxembourg Franc
Average,1991-03-31,1992-03-31,0.0166830,59.941,Luxembourg Franc
Spot,,1992-03-31,0.0169923,58.850,Luxembourg Franc
Average,1990-12-31,1991-12-31,0.0166049,60.223,Luxembourg Franc
Spot,,1991-12-31,0.0171086,58.450,Luxembourg Franc
Average,1990-03-31,1991-03-31,0.016686,59.932,Luxembourg Franc
Spot,,1991-03-28,0.016340,61.200,Luxembourg Franc
Average,1989-12-31,1990-12-31,0.016829,59.429,Luxembourg Franc
Spot,,1990-12-31,0.016736,59.750,Luxembourg Franc
Average,1989-03-31,1990-03-31,0.016409,60.943,Luxembourg Franc
Spot,,1990-03-30,0.017301,57.800,Luxembourg Franc
Average,1988-12-31,1989-12-31,0.015505,64.494,Luxembourg Franc
Spot,,1989-12-29,0.017422,57.400,Luxembourg Franc
