Type,From date,To date,Sterling value of currency unit - £,Currency units per £1
Average,2013-03-31,2014-03-31,0.0017,604.846
Average,2012-12-31,2013-12-31,0.0018,567.309264
Average,2012-03-31,2013-03-31,0.0021,468.932769
Average,2011-12-31,2012-12-31,0.0025,395.980142
Average,2011-03-31,2012-03-31,0.0039,253.849868
Average,2010-12-31,2011-12-31,0.004,250.396784
Average,2010-03-31,2011-03-31,0.0043,234.095
Average,2009-12-31,2010-12-31,0.0043,232.259
Average,2009-03-31,2010-03-31,0.0043599,229.365
Average,2008-12-31,2009-12-31,0.0045066,221.896
Average,2008-03-31,2009-03-31,0.0041438,241.322
Average,2007-12-31,2008-12-31,0.003843,260.21
Average,2007-03-31,2008-03-31,0.003552,281.54
Average,2006-12-31,2007-12-31,0.0035693,280.16
Average,2006-03-31,2007-03-31,0.00381228,262.3102
Average,2005-12-31,2006-12-31,0.003983,251.0676
Average,2005-03-31,2006-03-31,0.004534,220.5461
Average,2004-12-31,2005-12-31,0.004651,214.9901
Average,2004-03-31,2005-03-31,0.0049807,200.7741
Average,2003-12-31,2004-12-31,0.0050374,198.5154
Average,2003-03-31,2004-03-31,0.00584,171.341
Average,2002-12-31,2003-12-31,0.00635,157.579
Average,2002-03-31,2003-03-31,0.00798,125.355
Average,2001-12-31,2002-12-31,0.00869,115.074
Average,2001-03-28,2002-03-28,0.0099944231,100.0558
Average,2000-12-31,2001-12-31,0.0096061479,104.1
Average,2000-03-31,2001-03-31,0.0100143405,99.8568
Average,1999-12-29,2000-12-29,0.0111886484,89.3763
Average,1999-03-31,2000-03-31,0.0141106216,70.8686
Average,1998-12-30,1999-12-30,0.0142702413,70.0759
Average,1998-03-31,1999-03-31,0.016503,60.5949
Average,1997-12-31,1998-12-31,0.019172,52.1602
Average,1997-03-31,1998-03-31,0.033225,30.098
Average,1996-12-30,1997-12-30,0.038136,26.2217
Average,1996-03-31,1997-03-31,0.041203,24.2698
Average,1995-12-31,1996-12-31,0.041838,23.9018
Average,1995-03-31,1996-03-31,0.041705,23.978
Average,1994-12-30,1995-12-30,0.041348,24.1852
Average,1994-03-31,1995-03-31,0.055497,18.0189
Average,1993-12-30,1994-12-30,0.071257,14.0338
Average,1993-03-30,1994-03-30,0.143464,6.9704
Average,1992-12-31,1993-12-31,0.152952,6.538
Average,1992-03-31,1993-03-31,0.1505185,6.6437
Average,1991-12-31,1992-12-31,0.1603206,6.2375
Average,1991-03-31,1992-03-31,0.2070907,4.8288
Average,1990-12-31,1991-12-31,0.2057359,4.8606
Average,1990-03-31,1991-03-31,0.202400,4.9407
Average,1989-12-31,1990-12-31,0.209183,4.7805
Average,1989-03-31,1990-03-31,0.227154,4.4023
Average,1988-12-31,1989-12-31,0.224321,4.4579
