Type,From date,To date,Sterling value of currency unit - £,Currency units per £1,Currency
Average,2013-03-31,2014-03-31,0.8436,1.185417,Maltese Lira (Up To 31/12/07) Euro From 1/1/08
Average,2012-12-31,2013-12-31,0.8486,1.178398,Maltese Lira (Up To 31/12/07) Euro From 1/1/08
Average,2012-03-31,2013-03-31,0.8141,1.228351,Maltese Lira (Up To 31/12/07) Euro From 1/1/08
Average,2012-12-31,2013-12-31,0.8107,1.2334730,Maltese Lira (Up To 31/12/07) Euro From 1/1/08
Average,2007-03-31,2008-03-31,"1/4/07 to 31/12/07:
          1.606799
          (Euro from 1/1/08)","1/4/07 to 31/12/07: 
          0.62236
          (Euro from 1/1/08)",Maltese Lira (Up To 31/12/07) Euro From 1/1/08
Average,2006-12-31,2007-12-31,1.594642,0.6271,Maltese Lira (Up To 31/12/07) Euro From 1/1/08
Average,2006-03-31,2007-03-31,1.57778479,0.6338,Maltese Lira (Up To 31/12/07) Euro From 1/1/08
Average,2005-12-31,2006-12-31,1.58730159,0.63,Maltese Lira (Up To 31/12/07) Euro From 1/1/08
Average,2005-03-31,2006-03-31,1.58907,0.6293,Maltese Lira (Up To 31/12/07) Euro From 1/1/08
Average,2004-12-31,2005-12-31,1.59109,0.6285,Maltese Lira (Up To 31/12/07) Euro From 1/1/08
Average,2004-03-31,2005-03-31,1.5908368,0.6286,Maltese Lira (Up To 31/12/07) Euro From 1/1/08
Average,2003-12-31,2004-12-31,1.5857913,0.6306,Maltese Lira (Up To 31/12/07) Euro From 1/1/08
Average,2003-03-31,2004-03-31,1.62232,0.6164,Maltese Lira (Up To 31/12/07) Euro From 1/1/08
Average,2002-12-31,2003-12-31,1.62338,0.616,Maltese Lira (Up To 31/12/07) Euro From 1/1/08
Average,2002-03-31,2003-03-31,1.55015,0.6451,Maltese Lira (Up To 31/12/07) Euro From 1/1/08
Average,2001-12-31,2002-12-31,1.53728,0.6505,Maltese Lira (Up To 31/12/07) Euro From 1/1/08
Average,2001-03-28,2002-03-28,1.5389350569,0.6498,Maltese Lira (Up To 31/12/07) Euro From 1/1/08
Average,2000-12-31,2001-12-31,1.5424957581,0.6483,Maltese Lira (Up To 31/12/07) Euro From 1/1/08
Average,2000-03-31,2001-03-31,1.5316281207,0.6529,Maltese Lira (Up To 31/12/07) Euro From 1/1/08
Average,1999-12-29,2000-12-29,1.5285845307,0.6542,Maltese Lira (Up To 31/12/07) Euro From 1/1/08
Average,1999-03-31,2000-03-31,1.5358623867,0.6511,Maltese Lira (Up To 31/12/07) Euro From 1/1/08
Average,1998-12-30,1999-12-30,1.5448787270,0.6473,Maltese Lira (Up To 31/12/07) Euro From 1/1/08
Average,1998-03-31,1999-03-31,1.5625,0.6400,Maltese Lira (Up To 31/12/07) Euro From 1/1/08
Average,1997-12-31,1998-12-31,1.55063,0.6449,Maltese Lira (Up To 31/12/07) Euro From 1/1/08
Average,1997-03-31,1998-03-31,1.554726,0.6432,Maltese Lira (Up To 31/12/07) Euro From 1/1/08
Average,1996-12-30,1997-12-30,1.577038,0.6341,Maltese Lira (Up To 31/12/07) Euro From 1/1/08
Average,1996-03-31,1997-03-31,1.720282,0.5813,Maltese Lira (Up To 31/12/07) Euro From 1/1/08
Average,1995-12-31,1996-12-31,1.773679,0.5638,Maltese Lira (Up To 31/12/07) Euro From 1/1/08
Average,1995-03-31,1996-03-31,1.812251,0.5518,Maltese Lira (Up To 31/12/07) Euro From 1/1/08
Average,1994-12-30,1995-12-30,1.79501,0.5571,Maltese Lira (Up To 31/12/07) Euro From 1/1/08
Average,1994-03-31,1995-03-31,1.740644,0.5745,Maltese Lira (Up To 31/12/07) Euro From 1/1/08
Average,1993-12-30,1994-12-30,1.729206,0.5783,Maltese Lira (Up To 31/12/07) Euro From 1/1/08
Average,1993-03-30,1994-03-30,1.727414,0.5789,Maltese Lira (Up To 31/12/07) Euro From 1/1/08
Average,1992-12-31,1993-12-31,1.74642,0.5726,Maltese Lira (Up To 31/12/07) Euro From 1/1/08
Average,1992-03-31,1993-03-31,1.7866714,0.5597,Maltese Lira (Up To 31/12/07) Euro From 1/1/08
Average,1991-12-31,1992-12-31,1.783803,0.5606,Maltese Lira (Up To 31/12/07) Euro From 1/1/08
Average,1991-03-31,1992-03-31,1.7711654,0.5646,Maltese Lira (Up To 31/12/07) Euro From 1/1/08
Average,1990-12-31,1991-12-31,1.7602534,0.5681,Maltese Lira (Up To 31/12/07) Euro From 1/1/08
Average,1990-03-31,1991-03-31,1.567153,0.6381,Maltese Lira (Up To 31/12/07) Euro From 1/1/08
Average,1989-12-31,1990-12-31,1.512402,0.6612,Maltese Lira (Up To 31/12/07) Euro From 1/1/08
Average,1989-03-31,1990-03-31,1.800828,0.5553,Maltese Lira (Up To 31/12/07) Euro From 1/1/08
Average,1988-12-31,1989-12-31,1.756852,0.5692,Maltese Lira (Up To 31/12/07) Euro From 1/1/08
