Average for year to,Sterling value of currency unit - £,Currency units per £1
2014-03-31,0.0065,152.856480
2013-12-31,0.0069,145.634113
2013-03-31,0.0073,137.469769
2012-12-31,0.0074,135.203061
2012-03-31,0.0083,120.210473
2011-12-31,0.0084,119.028039
2011-03-31,0.0088,113.131
2010-12-31,0.0089,112.992
2010-03-31,0.0082853,120.696
2009-12-31,0.0082444,121.294
2009-03-31,0.0079527,125.743
2008-12-31,0.00778,128.535
2008-03-31,0.007744,129.13
2007-12-31,0.007575,132.02
2007-03-31,0.007282329,137.3187
2006-12-31,0.007470391,133.8618
2006-03-31,0.00794,125.954
2005-12-31,0.00781566,127.9483
2005-03-31,0.007539,132.6487
2004-12-31,0.00754514,132.5356
2004-03-31,0.007888,126.7737
2003-12-31,0.00805216,124.1903
2003-03-31,0.00839,119.1846
2002-12-31,0.00859334,116.3692
2002-03-28,0.0091903824,108.8094
2001-12-31,0.0092351964,108.2814
2001-03-31,0.0093528046,106.9198
2000-12-29,0.0093015209,107.5093
2000-03-31,0.0090736033,110.2098
1999-12-30,0.0091120075,109.7453
1999-03-31,0.0098525,101.4974
1998-12-31,0.010036,99.6421
1998-03-31,0.010562,94.678
1997-12-30,0.010725,93.24
1997-03-31,0.011148,89.7057
1996-12-31,0.011392,87.7806
1996-03-31,0.012251,81.6242
1995-12-30,0.012526,79.8312
1995-03-31,0.013069,76.5162
1994-12-30,0.013502,74.0625
1994-03-30,0.014374,69.5699
1993-12-31,0.014356,69.6564
1993-03-31,0.0125917,79.417
1992-12-31,0.0122789,81.44
1992-03-31,0.0146322,68.342
1991-12-31,0.0156943,63.717
1991-03-31,0.018510,54.026
1990-12-31,0.019774,50.571
