Average for year to,Sterling value of currency unit - £,Currency units per £1
2014-03-31,0.0252,39.627757
2013-12-31,0.0259,38.584190
2013-03-31,0.0266,37.646307
2012-12-31,0.0269,37.239314
2012-03-31,0.0276,36.199213
2011-12-31,0.0279,35.904198
2011-03-31,0.0298,33.5288
2010-12-31,0.0303,32.9591
2010-03-31,0.030433,32.8596
2009-12-31,0.031296,31.9532
2009-03-31,0.029837,33.5155
2008-12-31,0.027926,35.8091
2008-03-31,0.026575,37.6291
2007-12-31,0.026983,37.0597
2007-03-31,0.029805637,33.5507
2006-12-31,0.031098008,32.1564
2006-03-31,0.03377,29.6126
2005-12-31,0.03358003,29.7796
2005-03-31,0.033799,29.5863
2004-12-31,0.03443835,29.0374
2004-03-31,0.03851,25.9672
2003-12-31,0.04045373,24.7196
2003-03-31,0.044615,22.4138
2002-12-31,0.0464939,21.5082
2002-03-28,0.0512148154,19.5256
2001-12-31,0.0519092212,19.2644
2001-03-31,0.0541333521,18.4729
2000-12-29,0.0533706216,18.7369
2000-03-31,0.0513761091,19.4643
1999-12-30,0.0523423188,19.105
1999-03-31,0.057311,17.4486
1998-12-31,0.058651,17.05
1998-03-31,0.06303,15.8654
1997-12-30,0.064949,15.3967
1997-03-31,0.07322,13.6574
1996-12-31,0.076624,13.0508
1996-03-31,0.08269,12.0934
1995-12-30,0.084284,11.8647
1995-03-31,0.093495,10.6958
1994-12-30,0.097651,10.2406
1994-03-30,0.106703,9.3718
1993-12-31,0.110206,9.0739
1993-03-31,0.1118167,8.9432
1992-12-31,0.1097875,9.1085
1992-03-31,0.1145304,8.7313
1991-03-04 to 1991-12-31,0.1169303,8.5521
1991-01-01 to 1991-03-03,0.0000012,789306
1991-03-04 to 1991-03-31,0.107440,GC$9.3075
1990-04-01 to 1991-03-03,0.000001,C$2970339
