Type,From date,To date,Sterling value of currency unit - £,Currency units per £1
Average,2013-03-31,2014-03-31,0.2601,3.844990
Average,2012-12-31,2013-12-31,0.2777,3.6015
Average,2012-03-31,2013-03-31,0.3062,3.266240
Average,2011-12-31,2012-12-31,0.3067,3.260636
Average,2011-03-31,2012-03-31,0.2728,3.665605
Average,2010-12-31,2011-12-31,0.2637,3.792364
Average,2010-03-31,2011-03-31,0.2399,4.1689
Average,2009-12-31,2010-12-31,0.2393,4.1784
Average,2009-03-31,2010-03-31,0.23483,4.2584
Average,2008-12-31,2009-12-31,0.2365,4.2283
Average,2008-03-31,2009-03-31,0.22117,4.5214
Average,2007-12-31,2008-12-31,0.20497,4.8787
Average,2007-03-31,2008-03-31,0.174911,5.7172
Average,2006-12-31,2007-12-31,0.172049,5.8123
Average,2006-03-31,2007-03-31,0.177135367,5.6454
Average,2005-12-31,2006-12-31,0.181643144,5.5053
Average,2005-03-31,2006-03-31,0.18505,5.4038
Average,2004-12-31,2005-12-31,0.18082202,5.5303
Average,2004-03-31,2005-03-31,0.174688,5.7245
Average,2003-12-31,2004-12-31,0.17385862,5.7518
Average,2003-03-31,2004-03-31,0.174107,5.7436
Average,2002-12-31,2003-12-31,0.17349063,5.764
Average,2002-03-31,2003-03-31,0.164069,6.095
Average,2001-12-31,2002-12-31,0.1692076,5.9099
Average,2001-03-28,2002-03-28,0.2001160673,4.9971
Average,2000-12-31,2001-12-31,0.2059308072,4.856
Average,2000-03-31,2001-03-31,0.2386634845,4.19
Average,1999-12-29,2000-12-29,0.2380272303,4.2012
Average,1999-03-31,2000-03-31,0.2246282403,4.4518
Average,1998-12-30,1999-12-30,0.2390571586,4.1831
Average,1998-03-31,1999-03-31,0.27519,3.6339
Average,1997-12-31,1998-12-31,0.28634,3.4923
Average,1997-03-31,1998-03-31,0.398057,2.5122
Average,1996-12-30,1997-12-30,0.427588,2.3387
Average,1996-03-31,1997-03-31,0.477692,2.0934
Average,1995-12-31,1996-12-31,0.488377,2.0476
Average,1995-03-31,1996-03-31,0.483793,2.067
Average,1994-12-30,1995-12-30,0.495172,2.0195
Average,1994-03-31,1995-03-31,0.620848,1.6107
Average,1993-12-30,1994-12-30,0.659587,1.5161
Average,1993-03-30,1994-03-30,0.673673,1.4844
Average,1992-12-31,1993-12-31,0.676178,1.4789
Average,1992-03-31,1993-03-31,0.6047046,1.6537
Average,1991-12-31,1992-12-31,0.5821738,1.7177
Average,1991-03-31,1992-03-31,0.6040471,1.6555
Average,1990-12-31,1991-12-31,0.5949901,1.6807
Average,1990-03-31,1991-03-31,0.571919,1.7485
Average,1989-12-31,1990-12-31,0.595309,1.6798
