Average for year to,Sterling value of currency unit - £,Currency units per £1
2014-03-31,0.229,4.367671
2013-12-31,0.2375,4.210445
2013-03-31,0.2421,4.130073
2012-12-31,0.2394,4.177540
2012-03-31,0.2266,4.412378
2011-12-31,0.2264,4.416507
2011-03-31,0.2294,4.3585
2010-12-31,0.2291,4.3644
2010-03-31,0.21466,4.6586
2009-12-31,0.21284,4.6983
2009-03-31,0.19563,5.1117
2008-12-31,0.18551,5.3906
2008-03-31,0.163316,6.1231
2007-12-31,0.159862,6.2554
2007-03-31,0.163260,6.1252
2006-12-31,0.165791,6.0317
2006-03-31,0.16903,5.9161
2005-12-31,0.166859,5.9931
2005-03-31,0.1612773,6.2005
2004-12-31,0.1599181,6.2532
2004-03-31,0.1380,7.2490
2003-12-31,0.1419,7.0487
2003-03-31,0.18338,5.4531
2002-12-31,0.18893,5.2931
2002-03-28,0.1998241547,5.0044
2001-12-31,0.1978709090,5.0538
2001-03-31,0.1929943067,5.1815
2000-12-29,0.1891503367,5.2868
2000-03-31,0.1819372680,5.4964
1999-12-30,0.1829792684,5.4651
1999-03-31,0.19728,5.0689
1998-12-31,0.20587,4.8575
1998-03-31,0.225454,4.4355
1997-12-30,0.229337,4.3604
1997-03-31,0.24985,4.0024
1996-12-31,0.261083,3.8302
1996-03-31,0.279619,3.5763
1995-12-30,0.281563,3.5516
1995-03-31,0.292141,3.423
1994-12-30,0.298,3.3557
1994-03-30,0.319744,3.1275
1993-12-31,0.336973,2.9676
1993-03-31,0.4205568,2.3778
1992-12-31,0.4631344,2.1592
1992-03-31,0.6082725,1.6440
1991-12-31,0.7439369,1.3442
1991-01-01 to 1991-03-31,0.949577,S.1.0531
1990-04-01 to 1990-12-31,0.000003,373556
1990-12-31,0.000004,285494
1990-03-31,0.000071,14090
1989-12-31,0.000093,10707
