Type,From date,To date,Sterling value of currency unit - £,Currency units per £1,Currency
Average,2013-03-31,2014-03-31,0.8436,1.185417,Euro
Average,2012-12-31,2013-12-31,0.8486,1.178398,Euro
Average,2012-03-31,2013-03-31,0.8141,1.228351,Euro
Average,2011-12-31,2012-12-31,0.8107,1.233473,Euro
Average,2001-04-01,2002-02-27,0.0030797100,324.7059,Euro
Average,2002-01-01,2002-03-28,0.6148548942,1.6264,Euro
Average,2000-12-31,2001-12-31,0.0031008733,322.4898,Portuguese Escudo
Spot,,2002-03-28,0.6126324818,1.6323,Euro
Spot,,2002-02-27,0.0030423989,328.688,Euro
Spot,,2001-12-31,0.0030515995,327.697,Portuguese Escudo
Average,2000-03-31,2001-03-31,0.0030595243,326.8482,Portuguese Escudo
Average,1999-12-29,2000-12-29,0.0030380067,329.1632,Portuguese Escudo
Spot,,2001-03-30,0.0031015830,322.416,Portuguese Escudo
Spot,,2000-12-29,0.0031349338,318.986,Portuguese Escudo
Average,1999-03-31,2000-03-31,0.0031940126,313.0858,Portuguese Escudo
Average,1998-12-30,1999-12-30,0.0032842880,304.48,Portuguese Escudo
Spot,,2000-03-31,0.0029919069,334.235,Portuguese Escudo
Spot,,1999-12-31,0.0031021315,322.359,Portuguese Escudo
Average,1998-03-31,1999-03-31,0.003391,294.9011,Portuguese Escudo
Average,1997-12-31,1998-12-31,0.0033497,298.5344,Portuguese Escudo
Spot,,1999-03-31,0.0033358,299.776,Portuguese Escudo
Spot,,1998-12-31,0.00352045,284.055,Portuguese Escudo
Average,1997-03-31,1998-03-31,0.00338,295.8785,Portuguese Escudo
Average,1996-12-30,1997-12-30,0.003484,287.0583,Portuguese Escudo
Spot,,1997-12-31,0.0033058,302.498,Portuguese Escudo
Spot,,1998-03-31,0.003153,317.152,Portuguese Escudo
Average,1996-03-31,1997-03-31,0.003994,250.3734,Portuguese Escudo
Average,1995-12-31,1996-12-31,0.004151236,240.8921,Portuguese Escudo
Spot,,1997-03-31,0.00363,275.462,Portuguese Escudo
Spot,,1996-12-31,0.0037639,265.679,Portuguese Escudo
Average,1995-03-31,1996-03-31,0.004272,234.1085,Portuguese Escudo
Spot,,1996-03-31,0.0042937,232.898,Portuguese Escudo
Average,1994-12-30,1995-12-30,0.004226,236.623,Portuguese Escudo
Spot,,1995-12-30,0.0043115,231.936,Portuguese Escudo
Average,1994-03-31,1995-03-31,0.004006,249.6031,Portuguese Escudo
Spot,,1995-03-31,0.0042532,235.117,Portuguese Escudo
Average,1993-12-30,1994-12-30,0.003938,253.9439,Portuguese Escudo
Spot,,1994-12-30,0.0040149,249.069,Portuguese Escudo
Average,1993-03-30,1994-03-30,0.0039753,251.5498,Portuguese Escudo
Spot,,1994-03-30,0.003902,256.311,Portuguese Escudo
Average,1992-12-31,1993-12-31,0.0038435,260.1768,Portuguese Escudo
Spot,,1993-12-31,0.003825,261.428,Portuguese Escudo
Average,1992-03-31,1993-03-31,0.0043331,230.78,Portuguese Escudo
Spot,,1993-03-31,0.0044692,223.75,Portuguese Escudo
Average,1991-12-31,1992-12-31,0.0042098,237.54,Portuguese Escudo
Spot,,1992-12-31,0.0044994,222.25,Portuguese Escudo
Average,1991-03-31,1992-03-31,0.0039644,252.24,Portuguese Escudo
Spot,,1992-03-31,0.0039246,245.80,Portuguese Escudo
Average,1990-12-31,1991-12-31,0.0039258,254.72,Portuguese Escudo
Spot,,1991-12-31,0.0039800,251.25,Portuguese Escudo
Average,1990-03-31,1991-03-31,0.003901,256.37,Portuguese Escudo
Spot,,1991-03-28,0.003826,261.40,Portuguese Escudo
Average,1989-12-31,1990-12-31,0.003944,253.52,Portuguese Escudo
Spot,,1990-12-31,0.003917,255.30,Portuguese Escudo
Average,1989-03-31,1990-03-31,0.003983,251.04,Portuguese Escudo
Spot,,1990-03-30,0.004065,246.00,Portuguese Escudo
Average,1988-12-31,1989-12-31,0.003882,257.63,Portuguese Escudo
Spot,,1989-12-29,0.004146,241.20,Portuguese Escudo
