Type,From date,To date,Sterling value of currency unit - £,Currency units per £1,Currency
Average,2013-03-31,2014-03-31,0.1732,5.773226,Qatar Riyal
Average,2012-12-31,2013-12-31,0.1756,5.693373,Qatar Riyal
Average,2012-03-31,2013-03-31,0.1737,5.755930,Qatar Riyal
Average,2011-12-31,2012-12-31,0.1736,5.760416,Qatar Riyal
Average,2011-03-31,2012-03-31,0.1709,5.849957,Qatar Riyal
Average,2010-12-31,2011-12-31,0.1713,5.837937,Qatar Riyal
Average,2010-03-31,2011-03-31,0.1769,5.6514,Qatar Riyal
Average,2009-12-31,2010-12-31,0.1779,5.6217,Qatar Riyal
Average,2009-03-31,2010-03-31,0.17247,5.7982,Qatar Riyal
Average,2008-12-31,2009-12-31,0.1756,5.6946,Qatar Riyal
Average,2008-03-31,2009-03-31,0.15998,6.2508,Qatar Riyal
Average,2007-12-31,2008-12-31,0.14836,6.7405,Qatar Riyal
Average,2007-03-31,2008-03-31,0.136887,7.3053,Qatar Riyal
Average,2006-12-31,2007-12-31,0.1373,7.2833,Qatar Riyal
Average,2006-03-31,2007-03-31,0.145016,6.8958,Qatar Riyal
Average,2005-12-31,2006-12-31,0.148976,6.7125,Qatar Riyal
Average,2005-03-31,2006-03-31,0.15392193,6.4968,Qatar Riyal
Average,2004-12-31,2005-12-31,0.151012,6.622,Qatar Riyal
Average,2004-03-31,2005-03-31,0.1486149,6.7288,Qatar Riyal
Average,2003-12-31,2004-12-31,0.1496916,6.6804,Qatar Riyal
Average,2003-03-31,2004-03-31,0.1620,6.1714,Qatar Riyal
Average,2002-12-31,2003-12-31,0.1679,5.9559,Qatar Riyal
Average,2002-03-31,2003-03-31,0.17745,5.6355,Qatar Riyal
Average,2001-12-31,2002-12-31,0.18263,5.4756,Qatar Riyal
Average,2001-03-28,2002-03-28,0.1917324948,5.2156,Qatar Riyal
Average,2000-12-31,2001-12-31,0.1906577693,5.245,Qatar Riyal
Average,2000-03-31,2001-03-31,0.1856493085,5.3865,Qatar Riyal
Average,1999-12-29,2000-12-29,0.1811758311,5.5195,Qatar Riyal
Average,1999-03-31,2000-03-31,0.1705146131,5.8646,Qatar Riyal
Average,1998-12-30,1999-12-30,0.1697792869,5.89,Qatar Riyal
Average,1998-03-31,1999-03-31,0.165997,6.0242,Qatar Riyal
Average,1997-12-31,1998-12-31,0.16553,6.0411,Qatar Riyal
Average,1997-03-31,1998-03-31,0.167015,5.9875,Qatar Riyal
Average,1996-12-30,1997-12-30,0.167572,5.9676,Qatar Riyal
Average,1996-03-31,1997-03-31,0.173166,5.7748,Qatar Riyal
Average,1995-12-31,1996-12-31,0.175892,5.6853,Qatar Riyal
Average,1995-03-31,1996-03-31,0.175365,5.7024,Qatar Riyal
Average,1994-12-30,1995-12-30,0.173901,5.7504,Qatar Riyal
Average,1994-03-31,1995-03-31,0.176041,5.6805,Qatar Riyal
Average,1993-12-30,1994-12-30,0.178785,5.5933,Qatar Riyal
Average,1993-03-30,1994-03-30,0.183217,5.458,Qatar Riyal
Average,1992-12-31,1993-12-31,0.183301,5.4555,Qatar Riyal
Average,1992-03-31,1993-03-31,0.1622138,6.1647,Qatar Riyal
Average,1991-12-31,1992-12-31,0.1555742,6.4278,Qatar Riyal
Average,1991-03-31,1992-03-31,0.1594031,6.2734,Qatar Riyal
Average,1990-12-31,1991-12-31,0.1554847,6.4315,Qatar Riyal
Average,1990-03-31,1991-03-31,0.146873,6.8086,Qatar Riyal
Average,1989-12-31,1990-12-31,0.153851,6.4998,Qatar Riyal
Average,1989-03-31,1990-03-31,0.168799,5.9242,Qatar Riyal
Average,1988-12-31,1989-12-31,0.167909,5.9556,Qatar Riyal
