Type,From date,To date,Sterling value of currency unit - £,Currency units per £1
Average,2013-03-31,2014-03-31,0.0195,51.232159
Average,2012-12-31,2013-12-31,0.0205,48.785824
Average,2012-03-31,2013-03-31,0.0203,49.249373
Average,2011-12-31,2012-12-31,0.0203,49.320938
Average,2011-03-31,2012-03-31,0.0212,47.071768
Average,2010-12-31,2011-12-31,0.0213,47.057882
Average,2010-03-31,2011-03-31,0.0213,46.9792
Average,2009-12-31,2010-12-31,0.0213,46.8976
Average,2009-03-31,2010-03-31,0.020553,48.6544
Average,2008-12-31,2009-12-31,0.020105,49.7386
Average,2008-03-31,2009-03-31,0.021481,46.5529
Average,2007-12-31,2008-12-31,0.021794,45.8837
Average,2007-03-31,2008-03-31,0.019935,50.1627
Average,2006-12-31,2007-12-31,0.019568,51.1028
Average,2006-03-31,2007-03-31,0.019743025,50.6508
Average,2005-12-31,2006-12-31,0.019993962,50.0151
Average,2005-03-31,2006-03-31,0.01982,50.4621
Average,2004-12-31,2005-12-31,0.0194676,51.3674
Average,2004-03-31,2005-03-31,0.018963,52.7342
Average,2003-12-31,2004-12-31,0.01900252,52.6246
Average,2003-03-31,2004-03-31,0.019711,50.7326
Average,2002-12-31,2003-12-31,0.01987925,50.3037
Average,2002-03-31,2003-03-31,0.020394,49.0329
Average,2001-12-31,2002-12-31,0.0210889,47.4183
Average,2001-03-28,2002-03-28,0.0233847017,42.763
Average,2000-12-31,2001-12-31,0.0237241170,42.1512
Average,2000-03-31,2001-03-31,0.0240201577,41.6317
Average,1999-12-29,2000-12-29,0.0233970669,42.7404
Average,1999-03-31,2000-03-31,0.0237094361,42.1773
Average,1998-12-30,1999-12-30,0.0246612774,40.5494
Average,1998-03-31,1999-03-31,0.040057,24.9644
Average,1997-12-31,1998-12-31,0.056786,17.6101
