Type,From date,To date,Sterling value of currency unit - £,Currency units per £1,Currency
Average,2013-03-31,2014-03-31,0.0526,19.004840,Seychelles Rupee
Average,2012-12-31,2013-12-31,0.0527,18.988941,Seychelles Rupee
Average,2012-03-31,2013-03-31,0.0472,21.195038,Seychelles Rupee
Average,2011-12-31,2012-12-31,0.0461,21.708744,Seychelles Rupee
Average,2011-03-31,2012-03-31,0.0501,19.940507,Seychelles Rupee
Average,2010-12-31,2011-12-31,0.0504,19.832025,Seychelles Rupee
Average,2010-03-31,2011-03-31,0.0524,19.0717,Seychelles Rupee
Average,2009-12-31,2010-12-31,0.0535,18.6821,Seychelles Rupee
Average,2009-03-31,2010-03-31,0.050873,19.6567,Seychelles Rupee
Average,2008-12-31,2009-12-31,0.047246,21.1657,Seychelles Rupee
Average,2008-03-31,2009-03-31,0.052334,19.1079,Seychelles Rupee
Average,2007-12-31,2008-12-31,0.058397,17.1243,Seychelles Rupee
Average,2007-03-31,2008-03-31,0.068328,14.6353,Seychelles Rupee
Average,2006-12-31,2007-12-31,0.073339,13.6354,Seychelles Rupee
Average,2006-03-31,2007-03-31,0.09224837,10.8403,Seychelles Rupee
Average,2005-12-31,2006-12-31,0.097355816,10.2716,Seychelles Rupee
Average,2005-03-31,2006-03-31,0.10168,9.8347,Seychelles Rupee
Average,2004-12-31,2005-12-31,0.0997357,10.0265,Seychelles Rupee
Average,2004-03-31,2005-03-31,0.098098,10.1938,Seychelles Rupee
Average,2003-12-31,2004-12-31,0.09890903,10.1103,Seychelles Rupee
Average,2003-03-31,2004-03-31,0.105931,9.4401,Seychelles Rupee
Average,2002-12-31,2003-12-31,0.10920846,9.1568,Seychelles Rupee
Average,2002-03-31,2003-03-31,0.114746,8.7149,Seychelles Rupee
Average,2001-12-31,2002-12-31,0.11797879,8.4761,Seychelles Rupee
Average,2001-03-28,2002-03-28,0.1237976157,8.0777,Seychelles Rupee
Average,2000-12-31,2001-12-31,0.1189004090,8.4104,Seychelles Rupee
Average,2000-03-31,2001-03-31,0.1135421752,8.8073,Seychelles Rupee
Average,1999-12-29,2000-12-29,0.1156363468,8.6478,Seychelles Rupee
Average,1999-03-31,2000-03-31,0.1159648858,8.6233,Seychelles Rupee
Average,1998-12-30,1999-12-30,0.1161076085,8.6127,Seychelles Rupee
Average,1998-03-31,1999-03-31,0.11405,8.7682,Seychelles Rupee
Average,1997-12-31,1998-12-31,0.11447,8.7357,Seychelles Rupee
Average,1997-03-31,1998-03-31,0.120594,8.2923,Seychelles Rupee
Average,1996-12-30,1997-12-30,0.1213666,8.2395,Seychelles Rupee
Average,1996-03-31,1997-03-31,0.126358,7.914,Seychelles Rupee
Average,1995-12-31,1996-12-31,0.129012,7.7512,Seychelles Rupee
Average,1995-03-31,1996-03-31,0.133339,7.4997,Seychelles Rupee
Average,1994-12-30,1995-12-30,0.132396,7.5531,Seychelles Rupee
Average,1994-03-31,1995-03-31,0.129582,7.7171,Seychelles Rupee
Average,1993-12-30,1994-12-30,0.12952,7.7208,Seychelles Rupee
Average,1993-03-30,1994-03-30,0.129029,7.7502,Seychelles Rupee
Average,1992-12-31,1993-12-31,0.129134,7.7439,Seychelles Rupee
Average,1992-03-31,1993-03-31,0.1160335,8.6182,Seychelles Rupee
Average,1991-12-31,1992-12-31,0.111356,8.9802,Seychelles Rupee
Average,1991-03-31,1992-03-31,0.1100001,9.0909,Seychelles Rupee
Average,1990-12-31,1991-12-31,0.1084704,9.2191,Seychelles Rupee
Average,1990-03-31,1991-03-31,0.105027,9.5214,Seychelles Rupee
Average,1989-12-31,1990-12-31,0.107223,9.3264,Seychelles Rupee
