Type,From date,To date,Sterling value of currency unit - £,Currency units per £1,Currency
Average,2013-03-31,2014-03-31,0.0001,6861.479807,Sierra Leone Leone
Average,2012-12-31,2013-12-31,0.0001,6758.089056,Sierra Leone Leone
Average,2012-03-31,2013-03-31,0.0001,6846.487307,Sierra Leone Leone
Average,2011-12-31,2012-12-31,0.0001,6872.885714,Sierra Leone Leone
Average,2011-03-31,2012-03-31,0.0001,7033.207894,Sierra Leone Leone
Average,2010-12-31,2011-12-31,0.0001,6965.582156,Sierra Leone Leone
Average,2010-03-31,2011-03-31,0.0002,6301.37,Sierra Leone Leone
Average,2009-12-31,2010-12-31,0.0002,6134.06,Sierra Leone Leone
Average,2009-03-31,2010-03-31,0.00017472,5723.55,Sierra Leone Leone
Average,2008-12-31,2009-12-31,0.00018816,5314.64,Sierra Leone Leone
Average,2008-03-31,2009-03-31,0.00019407,5152.67,Sierra Leone Leone
Average,2007-12-31,2008-12-31,0.00018122,5518.12,Sierra Leone Leone
Average,2007-03-31,2008-03-31,0.000167,5987.38,Sierra Leone Leone
Average,2006-12-31,2007-12-31,0.0001674,5972.91,Sierra Leone Leone
Average,2006-03-31,2007-03-31,0.0001775752,5631.4166,Sierra Leone Leone
Average,2005-12-31,2006-12-31,0.0001830992,5461.5218,Sierra Leone Leone
Average,2005-03-31,2006-03-31,0.000195,5130.52,Sierra Leone Leone
Average,2004-12-31,2005-12-31,0.000199,5017.596,Sierra Leone Leone
Average,2004-03-31,2005-03-31,0.0002197,4552.6395,Sierra Leone Leone
Average,2003-12-31,2004-12-31,0.0002222,4501.4316,Sierra Leone Leone
Average,2003-03-31,2004-03-31,0.00024713,4046.3759,Sierra Leone Leone
Average,2002-12-31,2003-12-31,0.0003,3794.318,Sierra Leone Leone
Average,2002-03-31,2003-03-31,0.000315,3173.768,Sierra Leone Leone
Average,2001-12-31,2002-12-31,0.000323,3094.516,Sierra Leone Leone
Average,2001-03-28,2002-03-28,0.0003474198,2878.362,Sierra Leone Leone
Average,2000-12-31,2001-12-31,0.0003588470,2786.703,Sierra Leone Leone
Average,2000-03-31,2001-03-31,0.0003402766,2938.786,Sierra Leone Leone
Average,1999-12-29,2000-12-29,0.0003306036,3024.77,Sierra Leone Leone
Average,1999-03-31,2000-03-31,0.0003389412,2950.364,Sierra Leone Leone
Average,1998-12-30,1999-12-30,0.0003562937,2806.673,Sierra Leone Leone
Average,1998-03-31,1999-03-31,0.000424005,2358.464,Sierra Leone Leone
Average,1997-12-31,1998-12-31,0.00047985,2083.987,Sierra Leone Leone
Average,1997-03-31,1998-03-31,0.000743,1345.217,Sierra Leone Leone
Average,1996-12-30,1997-12-30,0.00077,1298.899,Sierra Leone Leone
Average,1996-03-31,1997-03-31,0.000748,1337.208,Sierra Leone Leone
Average,1995-12-31,1996-12-31,0.000736,1358.974,Sierra Leone Leone
Average,1995-03-31,1996-03-31,0.000847,1180.287,Sierra Leone Leone
Average,1994-12-30,1995-12-30,0.000931,1074.491,Sierra Leone Leone
Average,1994-03-31,1995-03-31,0.001092,915.7348,Sierra Leone Leone
Average,1993-12-30,1994-12-30,0.001135,880.8084,Sierra Leone Leone
Average,1993-03-30,1994-03-30,0.001227,814.9369,Sierra Leone Leone
Average,1992-12-31,1993-12-31,0.001242,805.4236,Sierra Leone Leone
Average,1992-03-31,1993-03-31,0.0012436,804.1,Sierra Leone Leone
Average,1991-12-31,1992-12-31,0.0012553,796.61,Sierra Leone Leone
Average,1991-07-09,1992-03-31,0.0015257,655.43,Sierra Leone Leone
Average,1991-04-01,1991-07-08,0.0026377,379.11,Sierra Leone Leone
Average,1991-07-09,1991-12-31,0.0016493,606.31,Sierra Leone Leone
Average,1991-01-01,1991-07-08,0.0027022,370.06,Sierra Leone Leone
Average,1990-03-31,1991-03-31,0.003085,324.19,Sierra Leone Leone
Average,1989-12-31,1990-12-31,0.003804,262.86,Sierra Leone Leone
Average,1989-03-31,1990-03-31,0.007300,136.98,Sierra Leone Leone
Average,1988-12-31,1989-12-31,0.010993,90.970,Sierra Leone Leone
