Type,From date,To date,Sterling value of currency unit - £,Currency units per £1,Currency
Average,2013-03-31,2014-03-31,0.8436,1.185417,Euro
Average,2012-12-31,2013-12-31,0.8486,1.178398,Euro
Average,2012-03-31,2013-03-31,0.8141,1.228351,Euro
Average,2011-12-31,2012-12-31,0.8107,1.233473,Euro
Average,2008-03-31,2009-03-31,"1.4.08 to 31.12.08:
          0.026514 
          (Euro from 1.1.09)","1.4.08 to 31.12.08:
          37.7155 
          (Euro from 1.1.09)",Euro
Average,2007-12-31,2008-12-31,0.025617,39.0363,Koruna
Average,2007-03-31,2008-03-31,0.021197,47.1771,Koruna
Average,2006-12-31,2007-12-31,0.020311,49.234,Koruna
Average,2006-03-31,2007-03-31,0.018672,53.5574,Koruna
Average,2005-12-31,2006-12-31,0.018400,54.3488,Koruna
Average,2005-03-31,2006-03-31,0.017778,56.2494,Koruna
Average,2004-12-31,2005-12-31,0.017684,56.5486,Koruna
