Average for year to,Sterling value of currency unit - £,Currency units per £1
2014-03-31,0.0005,1970.632884
2013-12-31,0.0005,2146.782452
2013-03-31,0.0004,2479.860576
2012-12-31,0.0004,2491.090204
2012-03-31,0.0004,2523.075789
2011-12-31,0.0004,2510.116862
2011-03-31,0.0004,2385.47
2010-12-31,0.0004,2337.21
2010-03-31,0.00044706,2236.85
2009-12-31,0.0004627,2161.21
2009-03-31,0.00041874,2388.10
2008-12-31,0.00038548,2594.15
2008-03-31,0.0003609,2770.69
2007-12-31,0.0003642,2745.39
2007-03-31,0.00038467,2599.6275
2006-12-31,0.000382407,2615.015
2006-03-31,0.00026,3841.33
2005-12-31,0.0002167,4614.7308
2005-03-31,0.000189,5293.099
2004-12-31,0.00019858,5035.7142
2004-03-31,0.000224,4461.972
2003-12-31,0.00023207,4309.0933
2003-03-31,0.000246,4064.276
2002-12-31,0.00025298,3952.9042
2002-03-28,0.0002664252,3753.399
2001-12-31,0.0002652457,3770.09
2001-03-31,0.0002585051,3868.396
2000-12-29,0.0002521267,3966.2592
2000-03-31,0.0002383851,4194.893
1999-12-30,0.0002375996,4208.7617
1999-03-31,0.000231094,4327.245
1998-12-31,0.00022994,4348.9917
1998-03-31,0.000233,4298.787
1997-12-30,0.0002327,4296.9542
1997-03-31,0.000241,4147.178
1996-12-31,0.000245,4077.322
1996-03-31,0.000243,4114.538
1995-12-30,0.000241,4150.058
1995-03-31,0.000246,4065.188
1994-12-30,0.00025,4001.393
1994-03-30,0.000242,4133.568
1993-12-31,0.000242,4126.799
1993-03-31,0.000224,4462.8
1992-12-31,0.0002138,4675.8
1992-03-31,0.0002193,4559.9
1991-12-31,0.0002155,4640
1991-03-31,0.000347,2880
1990-12-31,0.000560,1787
