Type,From date,To date,Sterling value of currency unit - £,Currency units per £1
Average,2013-03-31,2014-03-31,0.0049,206.1235
Average,2012-12-31,2013-12-31,0.005,201.652396
Average,2012-03-31,2013-03-31,0.0049,205.027153
Average,2011-12-31,2012-12-31,0.0049,202.164448
Average,2011-03-31,2012-03-31,0.0056,177.253
Average,2010-12-31,2011-12-31,0.0056,177.075039
Average,2010-03-31,2011-03-31,0.0057,174.211
Average,2009-12-31,2010-12-31,0.0057,174.697
Average,2009-03-31,2010-03-31,0.0054584,183.205
Average,2008-12-31,2009-12-31,0.0055499,180.184
Average,2008-03-31,2009-03-31,0.0053051,188.497
Average,2007-12-31,2008-12-31,0.0049881,200.476
Average,2007-03-31,2008-03-31,0.004512,221.61
Average,2006-12-31,2007-12-31,0.004517,221.39
Average,2006-03-31,2007-03-31,0.00499625,200.1501
Average,2005-12-31,2006-12-31,0.00521363,191.8051
Average,2005-03-31,2006-03-31,0.00553644,180.6214
Average,2004-12-31,2005-12-31,0.005491,182.1193
Average,2004-03-31,2005-03-31,0.0053231,187.8602
Average,2003-12-31,2004-12-31,0.0053805,185.8561
Average,2003-03-31,2004-03-31,0.0061,164.0631
Average,2002-12-31,2003-12-31,0.0063,157.8615
Average,2002-03-31,2003-03-31,0.0067,149.2486
Average,2001-12-31,2002-12-31,0.006946,143.9681
Average,2001-03-28,2002-03-28,0.0076295459,131.0694
Average,2000-12-31,2001-12-31,0.0077566280,128.922
Average,2000-03-31,2001-03-31,0.0084549222,118.2743
Average,1999-12-29,2000-12-29,0.0085958284,116.3355
Average,1999-03-31,2000-03-31,0.0086507136,115.5974
Average,1998-12-30,1999-12-30,0.0087427108,114.381
Average,1998-03-31,1999-03-31,0.0090761,110.1795
Average,1997-12-31,1998-12-31,0.0093018,107.5062
Average,1997-03-31,1998-03-31,0.010131,98.7092
Average,1996-12-30,1997-12-30,0.010347,96.6421
Average,1996-03-31,1997-03-31,0.011201,89.2778
Average,1995-12-31,1996-12-31,0.011578,86.3735
Average,1995-03-31,1996-03-31,0.012346,80.9976
Average,1994-12-30,1995-12-30,0.012477,80.1454
Average,1994-03-31,1995-03-31,0.013047,76.646
Average,1993-12-30,1994-12-30,0.013288,75.2559
Average,1993-03-30,1994-03-30,0.013846,72.2244
Average,1992-12-31,1993-12-31,0.014066,71.0926
Average,1992-03-31,1993-03-31,0.0134965,74.093
Average,1991-12-31,1992-12-31,0.0132126,75.685
Average,1991-03-31,1992-03-31,0.0135462,73.821
Average,1990-12-31,1991-12-31,0.0138377,72.266
Average,1990-03-31,1991-03-31,0.013388,74.691
Average,1989-12-31,1990-12-31,0.014073,71.060
Average,1989-03-31,1990-03-31,0.016037,62.354
Average,1988-12-31,1989-12-31,0.017061,58.613
