Type,From date,To date,Sterling value of currency unit - £,Currency units per £1
Average,2013-03-31,2014-03-31,0.1294,7.730271
Average,2012-12-31,2013-12-31,0.1409,7.098594
Average,2012-03-31,2013-03-31,0.1601,6.246534
Average,2011-12-31,2012-12-31,0.1787,5.594983
Average,2011-03-31,2012-03-31,0.232,4.311092
Average,2010-12-31,2011-12-31,0.2364,4.230813
Average,2010-03-31,2011-03-31,0.2713,3.6864
Average,2009-12-31,2010-12-31,0.2783,3.5933
Average,2009-03-31,2010-03-31,0.26804,3.7308
Average,2008-12-31,2009-12-31,0.27364,3.6544
Average,2008-03-31,2009-03-31,0.2727,3.6671
Average,2007-12-31,2008-12-31,0.25897,3.8614
Average,2007-03-31,2008-03-31,"0.244418 (01.07.07 to 31.03.08)
          0.002496 (01.04.07 to 30.06.07)","4.0913 (01.07.07 to 31.03.08)
          400.6417 (01.04.07 to 30.06.07)"
Average,2006-12-31,2007-12-31,"0.242907 (01.07.07 to 31.12.07)
          0.0025174 (01.01.07 to 30.06.07)","4.1168 (01.07.07 to 31.12.07)
          397.24 (01.01.07 to 30.06.07"
Average,2006-03-31,2007-03-31,0.002515303,397.5664
Average,2005-12-31,2006-12-31,0.002505648,399.0983
Average,2005-03-31,2006-03-31,0.00236,424.337
Average,2004-12-31,2005-12-31,0.0022602,442.4396
Average,2004-03-31,2005-03-31,0.002122,471.232
Average,2003-12-31,2004-12-31,0.00211763,472.2258
Average,2003-03-31,2004-03-31,0.002256,443.2834
Average,2002-12-31,2003-12-31,0.00233633,428.0218
Average,2002-03-31,2003-03-31,0.002488,401.9422
Average,2001-12-31,2002-12-31,0.00256206,390.3116
Average,2001-03-28,2002-03-28,0.0026970978,370.7689
Average,2000-12-31,2001-12-31,0.0026851621,372.417
Average,2000-03-31,2001-03-31,0.0026175941,382.0302
Average,1999-12-29,2000-12-29,0.0025582691,390.8893
Average,1999-03-31,2000-03-31,0.0024910552,401.4363
Average,1998-12-30,1999-12-30,0.0026441666,378.191
Average,1998-03-31,1999-03-31,0.003314,301.7498
Average,1997-12-31,1998-12-31,0.0034600,289.0171
Average,1997-03-31,1998-03-31,0.003996,250.2443
Average,1996-12-30,1997-12-30,0.0040972,244.0676
Average,1996-03-31,1997-03-31,0.004669,214.1687
Average,1995-12-31,1996-12-31,0.005359,186.6184
Average,1995-03-31,1996-03-31,0.009881,101.1997
Average,1995-01-20,1995-12-31,0.011612,86.1168
Average,1995-01-01,1995-01-19,0.020572,48.6093
Average,1995-01-21,1995-03-31,0.0162521,61.53015
Average,1994-04-01,1995-01-20,0.0203337,49.17934
Average,1994-02-26,1994-12-30,0.0204342,48.93741
Average,1994-01-01,1994-02-25,0.0516175,19.37325
Average,1994-02-26,1994-03-30,0.0216497,46.19
Average,1993-04-01,1994-02-25,0.0521968,19.158227
Average,1992-12-31,1993-12-31,0.055456,18.0324
Average,1992-06-08,1993-03-31,0.0591575,16.904
Average,1992-04-01,1992-06-07,0.0062216,160.73
Average,1992-06-08,1992-12-31,0.0561608,17.806
Average,1992-02-10,1992-06-07,0.0062472,160.07
Average,1992-01-01,1992-02-09,0.0364232,27.455
Average,1992-02-10,1992-03-31,0.0062865,159.07
Average,1991-10-14,1992-02-09,0.0373134,26.80
Average,1991-04-01,1991-10-13,0.0513004,19.493
Average,1991-10-14,1991-12-31,0.0379247,26.368
Average,1991-01-01,1991-10-13,0.0493388,20.268
Average,1990-03-31,1991-03-31,0.047562,21.025
Average,1989-12-31,1990-12-31,0.049363,20.258
