Type,From date,To date,Sterling value of currency unit - £,Currency units per £1,Currency
Average,2013-03-31,2014-03-31,0.1911,5.232471,Surinam Guilder
Average,2012-12-31,2013-12-31,0.1938,5.160362,Surinam Guilder
Average,2012-03-31,2013-03-31,0.1917,5.216963,Surinam Guilder
Average,2011-12-31,2012-12-31,0.1915,5.220865,Surinam Guilder
Average,2011-03-31,2012-03-31,0.1886,5.301478,Surinam Guilder
Average,2010-12-31,2011-12-31,0.1921,5.205325,Surinam Guilder
Average,2010-03-31,2011-03-31,0.2273,4.3988,Surinam Guilder
Average,2009-12-31,2010-12-31,0.2359,4.2395,Surinam Guilder
Average,2009-03-31,2010-03-31,0.22862,4.3741,Surinam Guilder
Average,2008-12-31,2009-12-31,0.23245,4.3020,Surinam Guilder
Average,2008-03-31,2009-03-31,0.21291,4.6968,Surinam Guilder
Average,2007-12-31,2008-12-31,0.19697,5.0768,Surinam Guilder
Average,2007-03-31,2008-03-31,0.181081,5.5224,Surinam Guilder
Average,2006-12-31,2007-12-31,0.18167,5.5045,Surinam Guilder
Average,2006-03-31,2007-03-31,0.191644308,5.218,Surinam Guilder
Average,2005-12-31,2006-12-31,0.197188098,5.0713,Surinam Guilder
Average,2005-03-31,2006-03-31,0.2052,4.8734,Surinam Guilder
Average,2004-12-31,2005-12-31,0.20174306,4.9568,Surinam Guilder
Average,2004-03-31,2005-03-31,0.198385,5.0407,Surinam Guilder
Average,2003-12-31,2004-12-31,0.19964862,5.0088,Surinam Guilder
Average,2003-03-31,2004-03-31,0.000319,3134.437,Surinam Guilder
Average,2002-12-31,2003-12-31,0.00024448,4090.3075,Surinam Guilder
Average,2002-03-31,2003-03-31,0.000288,3467.533,Surinam Guilder
Average,2001-12-31,2002-12-31,0.00030425,3286.7917,Surinam Guilder
Average,2001-09-01,2002-03-31,0.0003193851,3131.016,Surinam Guilder
Average,2001-09-01,2001-12-31,0.0003174465,3150.1375,Surinam Guilder
Average,2001-04-01,2001-08-31,0.0007140684,1400.426,Surinam Guilder
Average,2001-01-01,2001-08-31,0.0007096936,1409.0588,Surinam Guilder
Average,2000-03-31,2001-03-31,0.0007578444,1319.532,Surinam Guilder
Average,1999-12-29,2000-12-29,0.0007763327,1288.1075,Surinam Guilder
Average,1999-03-31,2000-03-31,0.0009015604,1109.188,Surinam Guilder
Average,1998-12-30,1999-12-30,0.0010556145,947.3155,Surinam Guilder
Average,1998-03-31,1999-03-31,0.00150989,662.2998,Surinam Guilder
Average,1997-12-31,1998-12-31,0.0015023,665.6281,Surinam Guilder
Average,1997-03-31,1998-03-31,0.00152,657.9441,Surinam Guilder
Average,1996-12-30,1997-12-30,0.0015121,661.3535,Surinam Guilder
Average,1996-03-31,1997-03-31,0.001541,648.9861,Surinam Guilder
Average,1995-12-31,1996-12-31,0.001564,639.3482,Surinam Guilder
Average,1995-03-31,1996-03-31,0.001444,692.3953,Surinam Guilder
Average,1994-12-30,1995-12-30,0.001453,688.4426,Surinam Guilder
Average,1994-10-21,1995-03-31,0.0018202,549.3697,Surinam Guilder
Average,1994-07-15,1994-10-20,0.0035166,284.359,Surinam Guilder
Average,1994-04-01,1994-07-14,0.3725088,2.6845,Surinam Guilder
Average,1994-10-21,1994-12-30,0.0020802Sf,480.708,Surinam Guilder
Average,1994-07-15,1994-10-20,0.0035166,284.359,Surinam Guilder
Average,1994-01-01,1994-07-14,0.3739757,2.67397,Surinam Guilder
Average,1993-03-30,1994-03-30,0.372329,2.6858,Surinam Guilder
Average,1992-12-31,1993-12-31,0.372967,2.6812,Surinam Guilder
Average,1992-03-31,1993-03-31,0.328969,3.0398,Surinam Guilder
Average,1991-12-31,1992-12-31,0.3139914,3.1848,Surinam Guilder
Average,1991-03-31,1992-03-31,0.3219160,3.1064,Surinam Guilder
Average,1990-12-31,1991-12-31,0.3163155,3.1614,Surinam Guilder
Average,1990-03-31,1991-03-31,0.305278,3.2757,Surinam Guilder
Average,1989-12-31,1990-12-31,0.317058,3.1540,Surinam Guilder
